Quarter,Time,Down,ToGo,Location,DAL,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,1.0,2024,13
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 66 yards, returned by KaVontae Turpin for 34 yards (tackle by Grant Delpit)",0.0,1.14,1.0,2024,13
1.0,14:56,1.0,10.0,DAL 33,0.0,0.0,"Ezekiel Elliott right end for no gain (tackle by Denzel Ward). Penalty on Jalen Tolbert: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,1.0,2024,13
1.0,14:46,1.0,20.0,DAL 23,0.0,0.0,Dak Prescott sacked by Dalvin Tomlinson for -7 yards,0.48,-1.86,1.0,2024,13
1.0,14:07,2.0,27.0,DAL 16,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Grant Delpit and Dalvin Tomlinson),-1.86,-1.29,1.0,2024,13
1.0,13:34,3.0,19.0,DAL 24,0.0,0.0,Ezekiel Elliott left guard for 8 yards (tackle by Jeremiah Owusu-Koramoah and Martin Emerson),-1.29,-1.24,1.0,2024,13
1.0,12:52,4.0,11.0,DAL 32,0.0,0.0,"Bryan Anger punts 42 yards, returned by Jaelon Darden for 28 yards (tackle by Jalen Brooks)",-1.24,-2.52,1.0,2024,13
1.0,12:39,1.0,10.0,DAL 46,0.0,0.0,Jerome Ford right tackle for 4 yards (tackle by Eric Kendricks and DeMarvion Overshown),2.52,2.52,1.0,2024,13
1.0,12:07,2.0,6.0,DAL 42,0.0,0.0,Deshaun Watson pass complete short right to Amari Cooper for 6 yards (tackle by Caelen Carson),2.52,3.18,1.0,2024,13
1.0,11:35,1.0,10.0,DAL 36,0.0,0.0,"Deshaun Watson pass complete short right to David Njoku for -1 yards (tackle by DeMarvion Overshown). Penalty on James Hudson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",3.18,2.85,1.0,2024,13
1.0,11:25,1.0,15.0,DAL 41,0.0,0.0,Deshaun Watson pass incomplete short right intended for Amari Cooper (defended by Caelen Carson),2.85,1.96,1.0,2024,13
1.0,11:22,2.0,15.0,DAL 41,0.0,0.0,Deshaun Watson pass complete short left to David Njoku for 5 yards (tackle by Trevon Diggs),1.96,1.95,1.0,2024,13
1.0,10:38,3.0,10.0,DAL 36,0.0,0.0,Deshaun Watson scrambles right end for 8 yards (tackle by Eric Kendricks and Osa Odighizuwa),1.95,1.7,1.0,2024,13
1.0,9:52,4.0,2.0,DAL 28,0.0,0.0,"Penalty on Dawand Jones: False Start, 5 yards (accepted) (no play)",1.7,1.15,1.0,2024,13
1.0,9:28,,,,,,Timeout #1 by Cleveland Browns,,,1.0,2024,13
1.0,9:28,4.0,7.0,DAL 33,0.0,3.0,Dustin Hopkins 51 yard field goal good,1.15,3.0,1.0,2024,13
1.0,9:23,,,CLE 35,0.0,3.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,1.0,2024,13
1.0,9:23,1.0,10.0,DAL 30,0.0,3.0,"Penalty on Hunter Luepke: False Start, 5 yards (accepted) (no play)",0.94,0.61,1.0,2024,13
1.0,9:23,1.0,15.0,DAL 25,0.0,3.0,"Rico Dowdle left guard for no gain (tackle by Dalvin Tomlinson). Penalty on Maurice Hurst: Defensive Offside, 5 yards (accepted) (no play)",0.61,0.94,1.0,2024,13
1.0,9:03,1.0,10.0,DAL 30,0.0,3.0,CeeDee Lamb right end for 10 yards (tackle by Jeremiah Owusu-Koramoah),0.94,1.6,1.0,2024,13
1.0,8:28,1.0,10.0,DAL 40,0.0,3.0,Dak Prescott pass incomplete short middle intended for KaVontae Turpin,1.6,1.05,1.0,2024,13
1.0,8:21,2.0,10.0,DAL 40,0.0,3.0,Dak Prescott pass complete deep right to CeeDee Lamb for 34 yards (tackle by Juan Thornhill),1.05,3.84,1.0,2024,13
1.0,7:44,1.0,10.0,CLE 26,0.0,3.0,Dak Prescott pass incomplete deep right intended for Jake Ferguson (defended by Denzel Ward),3.84,3.3,1.0,2024,13
1.0,7:40,2.0,10.0,CLE 26,0.0,3.0,Rico Dowdle up the middle for 5 yards (tackle by Alex Wright),3.3,3.27,1.0,2024,13
1.0,6:59,3.0,5.0,CLE 21,6.0,3.0,"Dak Prescott pass complete deep left to Brandin Cooks for 21 yards, touchdown",3.27,7.0,1.0,2024,13
1.0,6:55,,,CLE 15,7.0,3.0,Brandon Aubrey kicks extra point good,0.0,0.0,1.0,2024,13
1.0,6:55,,,DAL 35,7.0,3.0,"Brandon Aubrey kicks off 65 yards, touchback.. Penalty on D'Anthony Bell: Illegal Formation, 5 yards (accepted)",0.0,0.61,1.0,2024,13
