Unnamed: 0,MIA,IND,week,year,game_id
First Downs,12,27,1,2025,6
Rush-Yds-TDs,12-78-0,40-156-2,1,2025,6
Cmp-Att-Yd-TD-INT,19-31-146-1-2,22-29-272-1-0,1,2025,6
Sacked-Yards,3-13,1-10,1,2025,6
Net Pass Yards,133,262,1,2025,6
Total Yards,211,418,1,2025,6
Fumbles-Lost,1-1,0-0,1,2025,6
Turnovers,3,0,1,2025,6
Penalties-Yards,3-15,4-45,1,2025,6
Third Down Conv.,5-10,7-15,1,2025,6
Fourth Down Conv.,1-2,3-3,1,2025,6
Time of Possession,21:17,38:43,1,2025,6
