Unnamed: 0,TAM,ATL,week,year,game_id
First Downs,16,23,1,2025,3
Rush-Yds-TDs,23-101-0,28-69-1,1,2025,3
Cmp-Att-Yd-TD-INT,17-32-167-3-0,27-42-298-1-0,1,2025,3
Sacked-Yards,1-8,1-9,1,2025,3
Net Pass Yards,159,289,1,2025,3
Total Yards,260,358,1,2025,3
Fumbles-Lost,0-0,1-0,1,2025,3
Turnovers,0,0,1,2025,3
Penalties-Yards,5-60,8-55,1,2025,3
Third Down Conv.,7-14,6-15,1,2025,3
Fourth Down Conv.,1-1,3-4,1,2025,3
Time of Possession,24:48,35:12,1,2025,3
