Unnamed: 0,CAR,JAX,week,year,game_id
First Downs,15,19,1,2025,4
Rush-Yds-TDs,25-113-0,32-200-1,1,2025,4
Cmp-Att-Yd-TD-INT,18-35-154-1-2,19-31-178-1-1,1,2025,4
Sacked-Yards,1-12,0-0,1,2025,4
Net Pass Yards,142,178,1,2025,4
Total Yards,255,378,1,2025,4
Fumbles-Lost,1-1,0-0,1,2025,4
Turnovers,3,1,1,2025,4
Penalties-Yards,4-35,11-93,1,2025,4
Third Down Conv.,8-15,5-12,1,2025,4
Fourth Down Conv.,0-2,2-2,1,2025,4
Time of Possession,29:00,31:00,1,2025,4
