Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Falcons to receive the opening kickoff.",,,1,2025,3
1.0,15:00,,,TAM 35,0.0,0.0,"Chase McLaughlin kicks off 59 yards, returned by Jamal Agnew for 29 yards (tackle by Ryan Miller)",0.0,1.27,1,2025,3
1.0,14:54,1.0,10.0,ATL 35,0.0,0.0,Michael Penix pass complete short right to Bijan Robinson for 11 yards (tackle by Zyon McCollum),1.27,1.99,1,2025,3
1.0,14:11,1.0,10.0,ATL 46,0.0,0.0,Tyler Allgeier left end for 4 yards (tackle by SirVocea Dennis),1.99,2.06,1,2025,3
1.0,13:26,2.0,5.0,TAM 50,0.0,6.0,"Michael Penix pass complete short right to Bijan Robinson for 50 yards, touchdown",2.06,7.0,1,2025,3
1.0,13:14,,,TAM 15,0.0,7.0,Younghoe Koo kicks extra point good,0.0,0.0,1,2025,3
1.0,13:14,,,ATL 35,0.0,7.0,"Younghoe Koo kicks off 25 yards,. Penalty on Younghoe Koo: Kickoff Short of Landing Zone (accepted)",0.0,1.6,1,2025,3
1.0,13:12,1.0,10.0,TAM 40,0.0,7.0,Baker Mayfield pass incomplete short right,1.6,1.05,1,2025,3
1.0,13:09,2.0,10.0,TAM 40,0.0,7.0,Bucky Irving right guard for 2 yards (tackle by Zach Harrison and Arnold Ebiketie),1.05,0.63,1,2025,3
1.0,12:25,3.0,8.0,TAM 42,0.0,7.0,Baker Mayfield pass incomplete deep left intended for Sterling Shepard,0.63,-0.59,1,2025,3
1.0,12:21,4.0,8.0,TAM 42,0.0,7.0,Riley Dixon punts 40 yards downed by Kameron Johnson,-0.59,-0.04,1,2025,3
1.0,12:11,1.0,10.0,ATL 18,0.0,7.0,"Bijan Robinson up the middle for no gain. Penalty on Haason Reddick: Defensive Offside, 5 yards (accepted) (tackle by Lavonte David and Tykee Smith) (no play)",0.04,0.88,1,2025,3
1.0,11:52,1.0,5.0,ATL 23,0.0,7.0,Michael Penix pass incomplete short right intended for Casey Washington,0.88,0.28,1,2025,3
1.0,11:46,2.0,5.0,ATL 23,0.0,7.0,"Michael Penix aborted snap, recovered by Bijan Robinson at ATL-23",0.28,-1.04,1,2025,3
