Quarter,Time,Down,ToGo,Location,DAL,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Cowboys to receive the opening kickoff.",,,1,2025,1
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 60 yards, returned by KaVontae Turpin for 27 yards. Penalty on Jalen Carter: Disqualification / Defense, 15 yards (accepted) (tackle by Kylen Granson)",0.0,2.06,1,2025,1
1.0,14:54,1.0,10.0,DAL 47,0.0,0.0,Javonte Williams left tackle for 7 yards (tackle by Cooper DeJean),2.06,2.46,1,2025,1
1.0,14:19,2.0,3.0,PHI 46,0.0,0.0,KaVontae Turpin right end for 4 yards (tackle by Cooper DeJean and Zack Baun),2.46,2.79,1,2025,1
1.0,13:45,1.0,10.0,PHI 42,0.0,0.0,Dak Prescott pass complete short right to George Pickens for 6 yards (tackle by Quinyon Mitchell),2.79,3.05,1,2025,1
1.0,13:05,2.0,4.0,PHI 36,0.0,0.0,Javonte Williams up the middle for 3 yards (tackle by Andrew Mukuba),3.05,2.74,1,2025,1
1.0,12:22,3.0,1.0,PHI 33,0.0,0.0,Dak Prescott pass complete deep right to CeeDee Lamb for 32 yards (tackle by Adoree' Jackson),2.74,6.97,1,2025,1
1.0,11:56,1.0,1.0,PHI 1,0.0,0.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb. Penalty on Adoree' Jackson: Defensive Pass Interference (accepted) (no play),6.97,6.97,1,2025,1
1.0,11:52,1.0,1.0,PHI 1,6.0,0.0,"Javonte Williams left guard for 1 yard, touchdown",6.97,7.0,1,2025,1
1.0,11:49,,,PHI 15,7.0,0.0,Brandon Aubrey kicks extra point good,0.0,0.0,1,2025,1
1.0,11:49,,,DAL 35,7.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.. Penalty on Marcus Epps: Illegal Motion, 5 yards (accepted)",0.0,0.94,1,2025,1
1.0,11:49,1.0,10.0,PHI 30,7.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 8 yards (tackle by Kenneth Murray),0.94,1.47,1,2025,1
1.0,11:17,2.0,2.0,PHI 38,7.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Kenny Clark),1.47,1.66,1,2025,1
1.0,10:40,1.0,10.0,PHI 41,7.0,0.0,Jalen Hurts scrambles up the middle for 7 yards (tackle by Jack Sanborn),1.66,2.07,1,2025,1
1.0,9:57,2.0,3.0,PHI 48,7.0,0.0,Saquon Barkley left end for 16 yards (tackle by Damone Clark and DaRon Bland),2.07,3.18,1,2025,1
1.0,9:09,1.0,10.0,DAL 36,7.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 6 yards (tackle by Malik Hooker),3.18,3.45,1,2025,1
1.0,8:43,2.0,4.0,DAL 30,7.0,0.0,Will Shipley right guard for 5 yards (tackle by Damone Clark and Kenneth Murray),3.45,3.91,1,2025,1
1.0,8:08,1.0,10.0,DAL 25,7.0,0.0,Will Shipley left end for 20 yards (tackle by Jack Sanborn and Malik Hooker and Jack Sanborn),3.91,6.06,1,2025,1
1.0,7:24,1.0,5.0,DAL 5,7.0,0.0,Saquon Barkley left tackle for 2 yards (tackle by Donovan Ezeiruaku),6.06,5.53,1,2025,1
1.0,6:41,2.0,3.0,DAL 3,7.0,0.0,Saquon Barkley up the middle for -1 yards (tackle by Solomon Thomas and Kenneth Murray),5.53,4.49,1,2025,1
1.0,6:01,3.0,4.0,DAL 4,7.0,6.0,"Jalen Hurts scrambles right tackle for 4 yards, touchdown",4.49,7.0,1,2025,1
1.0,5:55,,,DAL 15,7.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,1,2025,1
1.0,5:55,,,PHI 35,7.0,7.0,"Jake Elliott kicks off 63 yards, returned by KaVontae Turpin for 22 yards. Penalty on Markquese Bell: Unnecessary Roughness / Offense, 12 yards (declined) . Penalty on Marist Liufau: Unnecessary Roughness / Offense, 12 yards (accepted) (tackle by Joshua Uche and Jeremiah Trotter)",0.0,-0.35,1,2025,1
1.0,5:48,1.0,10.0,DAL 12,7.0,7.0,Javonte Williams left guard for 3 yards (tackle by Moro Ojomo and Zack Baun),-0.35,-0.5,1,2025,1
1.0,5:08,2.0,7.0,DAL 15,7.0,7.0,Dak Prescott pass complete short left to CeeDee Lamb for 18 yards (tackle by Reed Blankenship),-0.5,1.14,1,2025,1
1.0,4:26,1.0,10.0,DAL 33,7.0,7.0,Javonte Williams right guard for 5 yards (tackle by Jalyx Hunt and Cooper DeJean),1.14,1.27,1,2025,1
1.0,3:44,2.0,5.0,DAL 38,7.0,7.0,Javonte Williams left end for 3 yards (tackle by Andrew Mukuba and Jihaad Campbell),1.27,0.96,1,2025,1
1.0,3:01,3.0,2.0,DAL 41,7.0,7.0,Dak Prescott pass complete short left to CeeDee Lamb for 26 yards (tackle by Adoree' Jackson),0.96,3.38,1,2025,1
1.0,2:14,1.0,10.0,PHI 33,7.0,7.0,"Dak Prescott pass complete short left to Miles Sanders for no gain. Penalty on Tyler Smith: Offensive Holding, 10 yards (accepted) (tackle by Reed Blankenship) (no play)",3.38,2.72,1,2025,1
