Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,1,2025,7
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 65 yards, returned by Greg Dortch for 22 yards (tackle by Danny Stutsman)",0.0,0.41,1,2025,7
1.0,14:56,1.0,10.0,ARI 22,0.0,0.0,James Conner right tackle for 3 yards (tackle by Davon Godchaux),0.41,0.27,1,2025,7
1.0,14:18,2.0,7.0,ARI 25,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Isaac Yiadom),0.27,1.33,1,2025,7
1.0,13:31,1.0,10.0,ARI 36,0.0,0.0,Kyler Murray sacked by Cameron Jordan for 11 yards,1.33,-0.7,1,2025,7
1.0,12:57,2.0,21.0,ARI 25,0.0,0.0,James Conner left end for -2 yards (tackle by Kool-Aid McKinstry),-0.7,-1.62,1,2025,7
1.0,12:15,3.0,23.0,ARI 23,0.0,0.0,Trey Benson left guard for 1 yard (tackle by Demario Davis),-1.62,-1.77,1,2025,7
1.0,11:40,4.0,22.0,ARI 24,0.0,0.0,"Blake Gillikin punts 60 yards, returned by Rashid Shaheed for 7 yards (tackle by Akeem Davis-Gaither and Elijah Higgins)",-1.77,-0.48,1,2025,7
1.0,11:27,1.0,10.0,NOR 23,0.0,0.0,Alvin Kamara up the middle for 3 yards (tackle by Akeem Davis-Gaither and Calais Campbell),0.48,0.34,1,2025,7
1.0,10:56,2.0,7.0,NOR 26,0.0,0.0,Spencer Rattler pass incomplete short middle intended for Rashid Shaheed (defended by Will Johnson),0.34,-0.36,1,2025,7
1.0,10:51,3.0,7.0,NOR 26,0.0,0.0,Spencer Rattler pass incomplete short right,-0.36,-1.63,1,2025,7
1.0,10:46,4.0,7.0,NOR 26,0.0,0.0,"Kai Kroeger punts 47 yards, returned by Greg Dortch for 7 yards (tackle by Chris Rumph and Jaylan Ford)",-1.63,-1.2,1,2025,7
1.0,10:34,1.0,10.0,ARI 34,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 5 yards (tackle by Justin Reid),1.2,1.33,1,2025,7
1.0,10:07,2.0,5.0,ARI 39,0.0,0.0,Kyler Murray scrambles right end for 13 yards (tackle by Justin Reid),1.33,2.39,1,2025,7
1.0,9:29,1.0,10.0,NOR 48,0.0,0.0,James Conner left tackle for 1 yard (tackle by Julian Blackmon),2.39,1.98,1,2025,7
1.0,8:57,2.0,9.0,NOR 47,0.0,0.0,Kyler Murray sacked by Carl Granderson for no gain,1.98,1.29,1,2025,7
1.0,8:10,3.0,9.0,NOR 47,0.0,0.0,"Kyler Murray pass incomplete short left intended for Marvin Harrison. Penalty on Kool-Aid McKinstry: Defensive Pass Interference, 13 yards (accepted) (no play)",1.29,3.31,1,2025,7
1.0,8:04,1.0,10.0,NOR 34,0.0,0.0,"Penalty on Isaiah Adams: False Start, 5 yards (accepted) (no play)",3.31,2.98,1,2025,7
1.0,8:04,1.0,15.0,NOR 39,0.0,0.0,Kyler Murray sacked by Pete Werner for no gain,2.98,2.09,1,2025,7
