Unnamed: 0,DAL,PHI,week,year,game_id
First Downs,22,20,1,2025,1
Rush-Yds-TDs,22-119-2,38-158-3,1,2025,1
Cmp-Att-Yd-TD-INT,21-34-188-0-0,19-23-152-0-0,1,2025,1
Sacked-Yards,0-0,1-8,1,2025,1
Net Pass Yards,188,144,1,2025,1
Total Yards,307,302,1,2025,1
Fumbles-Lost,1-1,0-0,1,2025,1
Turnovers,1,0,1,2025,1
Penalties-Yards,4-42,9-110,1,2025,1
Third Down Conv.,7-11,8-13,1,2025,1
Fourth Down Conv.,0-1,0-0,1,2025,1
Time of Possession,25:08,34:52,1,2025,1
