Unnamed: 0,KAN,LAC,week,year,game_id
First Downs,18,22,1,2025,2
Rush-Yds-TDs,17-98-1,25-90-0,1,2025,2
Cmp-Att-Yd-TD-INT,24-39-258-1-0,25-34-318-3-0,1,2025,2
Sacked-Yards,2-9,3-14,1,2025,2
Net Pass Yards,249,304,1,2025,2
Total Yards,347,394,1,2025,2
Fumbles-Lost,1-0,1-0,1,2025,2
Turnovers,0,0,1,2025,2
Penalties-Yards,10-71,6-49,1,2025,2
Third Down Conv.,5-14,7-13,1,2025,2
Fourth Down Conv.,3-3,1-1,1,2025,2
Time of Possession,27:16,32:44,1,2025,2
