Unnamed: 0,CIN,CLE,week,year,game_id
First Downs,11,22,1,2025,5
Rush-Yds-TDs,23-46-1,24-49-1,1,2025,5
Cmp-Att-Yd-TD-INT,14-23-113-1-0,31-45-290-1-2,1,2025,5
Sacked-Yards,3-18,2-12,1,2025,5
Net Pass Yards,95,278,1,2025,5
Total Yards,141,327,1,2025,5
Fumbles-Lost,0-0,0-0,1,2025,5
Turnovers,0,2,1,2025,5
Penalties-Yards,7-33,7-53,1,2025,5
Third Down Conv.,7-14,9-16,1,2025,5
Fourth Down Conv.,0-0,2-3,1,2025,5
Time of Possession,24:11,35:49,1,2025,5
