Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Titans to receive the opening kickoff.",,,1,2025,11
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,1.27,1,2025,11
1.0,15:00,1.0,10.0,TEN 35,0.0,0.0,Tony Pollard right guard for -1 yards (tackle by Nik Bonitto and Alex Singleton),1.27,0.59,1,2025,11
1.0,14:19,2.0,11.0,TEN 34,0.0,0.0,Tony Pollard left end for 1 yard (tackle by Riley Moss and Justin Strnad),0.59,0.04,1,2025,11
1.0,13:34,3.0,10.0,TEN 35,0.0,0.0,Cam Ward pass complete short left to Tony Pollard for 29 yards (tackle by Brandon Jones),0.04,3.18,1,2025,11
1.0,12:53,1.0,10.0,DEN 36,0.0,0.0,Cam Ward pass incomplete deep right intended for Tyler Lockett,3.18,2.64,1,2025,11
1.0,12:49,2.0,10.0,DEN 36,0.0,0.0,"Cam Ward pass complete deep right to Gunnar Helm for 17 yards DEN challenged the pass completion ruling, and the original play was overturned. Cam Ward pass incomplete deep right intended for Gunnar Helm (defended by Alex Singleton) (tackle by Alex Singleton)",2.64,1.95,1,2025,11
1.0,12:43,3.0,10.0,DEN 36,0.0,0.0,Tony Pollard right tackle for 4 yards (tackle by Talanoa Hufanga),1.95,1.25,1,2025,11
1.0,12:03,4.0,6.0,DEN 32,3.0,0.0,Joey Slye 50 yard field goal good,1.25,3.0,1,2025,11
1.0,11:58,,,TEN 35,3.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,1.27,1,2025,11
1.0,11:58,1.0,10.0,DEN 35,3.0,0.0,Bo Nix pass complete short left to Lucas Krull for 6 yards (tackle by Amani Hooker),1.27,1.53,1,2025,11
1.0,11:43,2.0,4.0,DEN 41,3.0,0.0,Bo Nix pass complete short left to Troy Franklin for 18 yards (tackle by L'Jarius Sneed),1.53,2.85,1,2025,11
1.0,10:55,1.0,10.0,TEN 41,3.0,0.0,J.K. Dobbins right end for 3 yards (tackle by Amani Hooker),2.85,2.71,1,2025,11
1.0,10:05,2.0,7.0,TEN 38,3.0,0.0,Bo Nix pass complete short left to Courtland Sutton for 12 yards (tackle by L'Jarius Sneed),2.71,3.84,1,2025,11
1.0,9:39,1.0,10.0,TEN 26,3.0,0.0,Bo Nix pass complete short left to Adam Trautman for 5 yards (tackle by L'Jarius Sneed),3.84,3.97,1,2025,11
1.0,9:03,2.0,5.0,TEN 21,3.0,0.0,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by L'Jarius Sneed),3.97,3.27,1,2025,11
1.0,8:53,3.0,5.0,TEN 21,3.0,0.0,"Penalty on Jeffery Simmons: Neutral Zone Infraction, 5 yards (accepted) (no play)",3.27,4.51,1,2025,11
1.0,8:53,1.0,10.0,TEN 16,3.0,0.0,"Penalty on Bo Nix: Delay of Game, 5 yards (accepted) (no play)",4.51,4.17,1,2025,11
1.0,8:53,1.0,15.0,TEN 21,3.0,0.0,Bo Nix pass incomplete deep left intended for Tyler Badie,4.17,3.28,1,2025,11
1.0,8:47,2.0,15.0,TEN 21,3.0,0.0,Bo Nix pass incomplete short right intended for Tyler Badie,3.28,2.61,1,2025,11
1.0,8:43,,,,,,Timeout #1 by Denver Broncos,,,1,2025,11
1.0,8:43,3.0,15.0,TEN 21,3.0,0.0,Bo Nix pass incomplete short left intended for Tyler Badie,2.61,2.06,1,2025,11
1.0,8:39,4.0,15.0,TEN 21,3.0,3.0,Wil Lutz 39 yard field goal good,2.06,3.0,1,2025,11
1.0,8:35,,,DEN 35,3.0,3.0,"Wil Lutz kicks off 60 yards, returned by Chimere Dike for 25 yards (tackle by Devon Key)",0.0,0.94,1,2025,11
1.0,8:30,1.0,10.0,TEN 30,3.0,3.0,Cam Ward pass complete short left to Chigoziem Okonkwo for 4 yards (tackle by Talanoa Hufanga),0.94,0.93,1,2025,11
1.0,7:51,2.0,6.0,TEN 34,3.0,3.0,Cam Ward pass complete deep left to Gunnar Helm for 16 yards (tackle by Talanoa Hufanga),0.93,2.26,1,2025,11
