Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,,1,2025,2
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 59 yards, returned by Tyquan Thornton for 28 yards. Penalty on Joshua Williams: Offensive Holding, 10 yards (accepted) (tackle by Benjamin St-Juste)",0.0,0.54,1,2025,2
1.0,14:52,1.0,10.0,KAN 24,0.0,0.0,Isiah Pacheco right guard for 4 yards (tackle by Alohi Gilman and Daiyan Henley),0.54,0.54,1,2025,2
1.0,14:22,2.0,6.0,KAN 28,0.0,0.0,Xavier Worthy right end for no gain (tackle by Khalil Mack),0.54,-0.16,1,2025,2
1.0,13:44,3.0,6.0,KAN 28,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,-0.16,-1.5,1,2025,2
1.0,13:35,4.0,6.0,KAN 28,0.0,0.0,Matt Araiza punts 40 yards out of bounds,-1.5,-1.07,1,2025,2
1.0,13:26,1.0,10.0,LAC 32,0.0,0.0,Justin Herbert scrambles left tackle for 6 yards (tackle by Jaden Hicks),1.07,1.34,1,2025,2
1.0,12:48,2.0,4.0,LAC 38,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 33 yards (tackle by Bryan Cook),1.34,3.64,1,2025,2
1.0,12:07,1.0,10.0,KAN 29,0.0,0.0,Justin Herbert pass complete short right to Ladd McConkey for 9 yards (tackle by Trent McDuffie),3.64,4.32,1,2025,2
1.0,11:26,2.0,1.0,KAN 20,0.0,0.0,Omarion Hampton right tackle for 8 yards (tackle by George Karlaftis and Chamarri Conner),4.32,4.78,1,2025,2
1.0,10:51,1.0,10.0,KAN 12,0.0,0.0,Omarion Hampton left end for 3 yards (tackle by Nick Bolton),4.78,4.64,1,2025,2
1.0,10:09,2.0,7.0,KAN 9,0.0,0.0,Justin Herbert sacked by George Karlaftis for 1 yard,4.64,3.48,1,2025,2
