Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Vikings to receive the opening kickoff.",,,1,2025,16
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, returned by Ty Chandler for 25 yards (tackle by Ruben Hyppolite and Carl Jones)",0.0,0.61,1,2025,16
1.0,14:53,1.0,10.0,MIN 25,0.0,0.0,Aaron Jones right end for 3 yards (tackle by Tyrique Stevenson),0.61,0.47,1,2025,16
1.0,14:20,2.0,7.0,MIN 28,0.0,0.0,J.J. McCarthy pass complete short left to Josh Oliver for 5 yards (tackle by Jaquan Brisker),0.47,0.43,1,2025,16
1.0,13:41,3.0,2.0,MIN 33,0.0,0.0,J.J. McCarthy sacked by Gervon Dexter for 1 yard,0.43,-1.24,1,2025,16
1.0,13:00,4.0,3.0,MIN 32,0.0,0.0,"Ryan Wright punts 51 yards, returned by Devin Duvernay for 22 yards (tackle by Eric Wilson and Andrew DePaola)",-1.24,-1.53,1,2025,16
1.0,12:45,1.0,10.0,CHI 39,0.0,0.0,Caleb Williams pass complete short right to D'Andre Swift for 3 yards (tackle by Ivan Pace),1.53,1.39,1,2025,16
1.0,12:19,2.0,7.0,CHI 42,0.0,0.0,Caleb Williams pass complete short left to D'Andre Swift for 8 yards (tackle by Byron Murphy),1.39,2.26,1,2025,16
1.0,11:34,1.0,10.0,CHI 50,0.0,0.0,D'Andre Swift right guard for 4 yards (tackle by Ivan Pace and Andrew Van Ginkel),2.26,2.25,1,2025,16
1.0,10:53,2.0,6.0,MIN 46,0.0,0.0,Caleb Williams pass complete short middle to Kyle Monangai for 11 yards (tackle by Theo Jackson),2.25,3.25,1,2025,16
1.0,10:17,1.0,10.0,MIN 35,0.0,0.0,Caleb Williams pass complete short middle to D.J. Moore for 5 yards (tackle by Blake Cashman),3.25,3.38,1,2025,16
1.0,9:35,2.0,5.0,MIN 30,0.0,0.0,D'Andre Swift right guard for no gain (tackle by Jonathan Greenard),3.38,2.68,1,2025,16
1.0,8:50,,,,,,Timeout #1 by Chicago Bears,,,1,2025,16
1.0,8:50,3.0,5.0,MIN 30,0.0,0.0,Caleb Williams pass complete deep right to Rome Odunze for 17 yards,2.68,4.71,1,2025,16
1.0,8:24,1.0,10.0,MIN 13,0.0,0.0,Caleb Williams pass complete short left to Olamide Zaccheaus for 7 yards (tackle by Jeff Okudah),4.71,5.34,1,2025,16
1.0,7:52,,,,,,Timeout #1 by Minnesota Vikings,,,1,2025,16
1.0,7:52,2.0,3.0,MIN 6,0.0,0.0,D'Andre Swift left tackle for -3 yards (tackle by Levi Drake Rodriguez),5.34,3.88,1,2025,16
1.0,7:12,3.0,6.0,MIN 9,0.0,6.0,"Caleb Williams scrambles left end for 9 yards, touchdown",3.88,7.0,1,2025,16
1.0,7:04,,,MIN 15,0.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,1,2025,16
1.0,7:04,,,CHI 35,0.0,7.0,"Cairo Santos kicks off 65 yards, returned by Myles Price for 24 yards (tackle by Daniel Hardy)",0.0,0.54,1,2025,16
1.0,6:59,1.0,10.0,MIN 24,0.0,7.0,Justin Jefferson right end for 4 yards (tackle by Kevin Byard),0.54,0.54,1,2025,16
1.0,6:22,2.0,6.0,MIN 28,0.0,7.0,Aaron Jones right tackle for 2 yards (tackle by Grady Jarrett and Dayo Odeyingbo),0.54,0.1,1,2025,16
1.0,5:42,3.0,4.0,MIN 30,0.0,7.0,J.J. McCarthy sacked by Dayo Odeyingbo for 2 yards,0.1,-1.5,1,2025,16
1.0,5:06,4.0,6.0,MIN 28,0.0,7.0,"Ryan Wright punts 54 yards, returned by Devin Duvernay for 7 yards (tackle by Dallas Turner and Tavierre Thomas)",-1.5,-0.61,1,2025,16
1.0,4:51,1.0,10.0,CHI 25,0.0,7.0,Caleb Williams pass complete short right to D'Andre Swift for 1 yard (tackle by Andrew Van Ginkel),0.61,0.2,1,2025,16
1.0,4:08,2.0,9.0,CHI 26,0.0,7.0,Caleb Williams scrambles right tackle for 12 yards (tackle by Andrew Van Ginkel),0.2,1.47,1,2025,16
1.0,3:24,1.0,10.0,CHI 38,0.0,7.0,D.J. Moore right guard for 5 yards (tackle by Jonathan Allen and Ivan Pace),1.47,1.6,1,2025,16
1.0,2:40,2.0,5.0,CHI 43,0.0,7.0,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",1.6,0.92,1,2025,16
1.0,2:23,2.0,10.0,CHI 38,0.0,7.0,Caleb Williams pass complete short middle to Colston Loveland for 8 yards (tackle by Isaiah Rodgers),0.92,1.29,1,2025,16
1.0,1:46,3.0,2.0,CHI 46,0.0,7.0,Caleb Williams pass complete short left to Rome Odunze for -4 yards (tackle by Isaiah Rodgers),1.29,-0.59,1,2025,16
1.0,1:05,4.0,6.0,CHI 42,0.0,7.0,Tory Taylor punts 39 yards out of bounds,-0.59,-0.15,1,2025,16
1.0,0:58,1.0,10.0,MIN 19,0.0,7.0,Jordan Mason left end for 6 yards (tackle by Noah Sewell),0.15,0.48,1,2025,16
1.0,0:20,2.0,4.0,MIN 25,0.0,7.0,Jordan Mason left tackle for 6 yards (tackle by Chris Williams),0.48,1.0,1,2025,16
2.0,15:00,1.0,10.0,MIN 31,0.0,7.0,"J.J. McCarthy pass incomplete deep left intended for Aaron Jones. Penalty on Nahshon Wright: Defensive Pass Interference, 42 yards (accepted) (no play)",1.0,3.78,1,2025,16
2.0,14:53,1.0,10.0,CHI 27,0.0,7.0,J.J. McCarthy scrambles left guard for 11 yards (tackle by Tyrique Stevenson),3.78,4.51,1,2025,16
2.0,14:18,1.0,10.0,CHI 16,0.0,7.0,Jordan Mason left guard for 5 yards (tackle by Noah Sewell),4.51,4.76,1,2025,16
2.0,13:41,2.0,5.0,CHI 11,0.0,7.0,Jordan Mason left end for -3 yards (tackle by Nahshon Wright and Tremaine Edmunds),4.76,3.37,1,2025,16
2.0,12:59,3.0,8.0,CHI 14,0.0,7.0,J.J. McCarthy pass incomplete short right intended for Justin Jefferson,3.37,2.51,1,2025,16
2.0,12:51,4.0,8.0,CHI 14,3.0,7.0,Will Reichard 31 yard field goal good,2.51,3.0,1,2025,16
2.0,12:48,,,MIN 35,3.0,7.0,"Will Reichard kicks off 65 yards, returned by Devin Duvernay for 34 yards. Penalty on Jay Ward: Illegal Formation, 5 yards (accepted) (tackle by Tai Felton)",0.0,1.53,1,2025,16
2.0,12:41,1.0,10.0,CHI 39,3.0,7.0,Caleb Williams pass complete deep right to D.J. Moore for 30 yards (tackle by Theo Jackson),1.53,3.51,1,2025,16
2.0,11:52,1.0,10.0,MIN 31,3.0,7.0,D.J. Moore left tackle for 1 yard (tackle by Eric Wilson),3.51,3.1,1,2025,16
2.0,11:10,2.0,9.0,MIN 30,3.0,7.0,"Penalty on D.J. Moore: False Start, 5 yards (accepted) (no play)",3.1,2.43,1,2025,16
2.0,10:48,2.0,14.0,MIN 35,3.0,7.0,Caleb Williams scrambles left end for 9 yards (tackle by Byron Murphy),2.43,2.94,1,2025,16
2.0,9:59,3.0,5.0,MIN 26,3.0,7.0,"Penalty on Jonah Jackson: False Start, 5 yards (accepted) (no play)",2.94,2.28,1,2025,16
2.0,9:41,3.0,10.0,MIN 31,3.0,7.0,D'Andre Swift left tackle for 7 yards (tackle by Theo Jackson and Javon Hargrave),2.28,1.97,1,2025,16
2.0,8:59,,,,,,Timeout #2 by Chicago Bears,,,1,2025,16
2.0,8:59,4.0,3.0,MIN 24,3.0,7.0,Caleb Williams pass incomplete short middle intended for D.J. Moore,1.97,-0.61,1,2025,16
2.0,8:55,1.0,10.0,MIN 25,3.0,7.0,Aaron Jones left end for 1 yard (tackle by Noah Sewell),0.61,0.2,1,2025,16
2.0,8:24,2.0,9.0,MIN 26,3.0,7.0,J.J. McCarthy pass complete short left to T.J. Hockenson for 4 yards (tackle by Jaquan Brisker and Tremaine Edmunds),0.2,0.04,1,2025,16
