Quarter,Time,Tm,Detail,HOU,LAR,week,year,game_id
1.0,1:15,Texans,Ka'imi Fairbairn 51 yard field goal,3,0,1,2025,14
2.0,4:47,Texans,Ka'imi Fairbairn 45 yard field goal,6,0,1,2025,14
,0:53,Rams,Kyren Williams 1 yard rush (Joshua Karty kick),6,7,1,2025,14
,0:00,Texans,Ka'imi Fairbairn 53 yard field goal,9,7,1,2025,14
3.0,12:28,Rams,Davis Allen 13 yard pass from Matthew Stafford (Joshua Karty kick),9,14,1,2025,14
