Quarter,Time,Tm,Detail,NYG,WAS,week,year,game_id
1.0,7:00,Commanders,Zach Ertz 7 yard pass from Jayden Daniels (Matt Gay kick),0,7,1,2025,9
2.0,13:57,Giants,Graham Gano 21 yard field goal,3,7,1,2025,9
,6:14,Commanders,Jacory Croskey-Merritt 6 yard rush (Matt Gay kick),3,14,1,2025,9
3.0,1:43,Giants,Graham Gano 55 yard field goal,6,14,1,2025,9
4.0,7:09,Commanders,Deebo Samuel 19 yard rush (Matt Gay kick),6,21,1,2025,9
