Quarter,Time,Tm,Detail,MIA,IND,week,year,game_id
1.0,10:37,Colts,Spencer Shrader 24 yard field goal,0,3,1,2025,6
2.0,14:54,Colts,Michael Pittman Jr. 27 yard pass from Daniel Jones (Spencer Shrader kick),0,10,1,2025,6
,12:01,Colts,Daniel Jones 1 yard rush (Spencer Shrader kick),0,17,1,2025,6
,0:00,Colts,Spencer Shrader 35 yard field goal,0,20,1,2025,6
3.0,7:30,Colts,Spencer Shrader 28 yard field goal,0,23,1,2025,6
4.0,10:14,Colts,Daniel Jones 1 yard rush (Spencer Shrader kick),0,30,1,2025,6
,6:21,Dolphins,De'Von Achane 11 yard pass from Tua Tagovailoa (Julian Hill pass from Tua Tagovailoa),8,30,1,2025,6
,2:23,Colts,Spencer Shrader 48 yard field goal,8,33,1,2025,6
