Quarter,Time,Tm,Detail,MIN,CHI,week,year,game_id
1.0,7:04,Bears,Caleb Williams 9 yard rush (Cairo Santos kick),0,7,1,2025,16
2.0,12:48,Vikings,Will Reichard 31 yard field goal,3,7,1,2025,16
,0:24,Bears,Cairo Santos 42 yard field goal,3,10,1,2025,16
,0:06,Vikings,Will Reichard 59 yard field goal,6,10,1,2025,16
3.0,12:51,Bears,Nahshon Wright 74 yard interception return (Cairo Santos kick),6,17,1,2025,16
4.0,12:13,Vikings,Justin Jefferson 13 yard pass from J.J. McCarthy (pass failed),12,17,1,2025,16
,9:46,Vikings,Aaron Jones 27 yard pass from J.J. McCarthy (Adam Thielen pass from J.J. McCarthy),20,17,1,2025,16
,2:53,Vikings,J.J. McCarthy 14 yard rush (Will Reichard kick),27,17,1,2025,16
,2:02,Bears,Rome Odunze 1 yard pass from Caleb Williams (Cairo Santos kick),27,24,1,2025,16
