Unnamed: 0,LVR,NWE,week,year,game_id
First Downs,21,18,1,2025,8
Rush-Yds-TDs,24-56-1,18-60-0,1,2025,8
Cmp-Att-Yd-TD-INT,24-34-362-1-1,30-46-287-1-1,1,2025,8
Sacked-Yards,4-29,4-11,1,2025,8
Net Pass Yards,333,276,1,2025,8
Total Yards,389,336,1,2025,8
Fumbles-Lost,0-0,1-0,1,2025,8
Turnovers,1,1,1,2025,8
Penalties-Yards,9-81,8-70,1,2025,8
Third Down Conv.,5-13,4-14,1,2025,8
Fourth Down Conv.,1-1,1-1,1,2025,8
Time of Possession,29:55,30:05,1,2025,8
