Quarter,Time,Down,ToGo,Location,DET,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Packers to receive the opening kickoff.",,,1,2025,13
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 59 yards, returned by Savion Williams for 21 yards. Penalty on Bo Melton: Defensive Holding, 10 yards (accepted) (tackle by Jake Bates)",0.0,-0.06,1,2025,13
1.0,14:55,1.0,10.0,GNB 17,0.0,0.0,Josh Jacobs up the middle for 1 yard (tackle by Terrion Arnold and Alex Anzalone),-0.06,-0.42,1,2025,13
1.0,14:14,2.0,9.0,GNB 18,0.0,0.0,"Jordan Love pass complete deep left to Romeo Doubs for 20 yards. Penalty on D.J. Reed: Illegal Contact, 5 yards (declined) (tackle by D.J. Reed)",-0.42,1.47,1,2025,13
1.0,13:53,1.0,10.0,GNB 38,0.0,0.0,Josh Jacobs right tackle for no gain (tackle by Marcus Davenport and Jack Campbell),1.47,0.92,1,2025,13
1.0,13:13,2.0,10.0,GNB 38,0.0,0.0,Jordan Love pass incomplete deep left intended for Tucker Kraft,0.92,0.23,1,2025,13
1.0,13:07,3.0,10.0,GNB 38,0.0,0.0,Jordan Love pass complete short middle to Dontayvion Wicks for 16 yards (tackle by Terrion Arnold),0.23,2.52,1,2025,13
1.0,12:26,1.0,10.0,DET 46,0.0,0.0,Josh Jacobs right end for 2 yards (tackle by Alex Anzalone and Terrion Arnold),2.52,2.25,1,2025,13
1.0,11:53,2.0,8.0,DET 44,0.0,0.0,Jordan Love pass complete short left to John FitzPatrick for 2 yards (tackle by Jack Campbell),2.25,1.82,1,2025,13
1.0,11:15,3.0,6.0,DET 42,0.0,0.0,Jordan Love pass complete short left to Matthew Golden for 11 yards (tackle by Kerby Joseph),1.82,3.51,1,2025,13
1.0,10:33,1.0,10.0,DET 31,0.0,0.0,Josh Jacobs left end for no gain (tackle by Tyleik Williams),3.51,2.97,1,2025,13
1.0,10:25,2.0,10.0,DET 31,0.0,0.0,"Penalty on Brian Branch: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",2.97,4.51,1,2025,13
1.0,10:13,1.0,10.0,DET 16,0.0,0.0,Jordan Love pass complete short middle to Savion Williams for 1 yard (tackle by Terrion Arnold),4.51,4.05,1,2025,13
1.0,9:37,2.0,9.0,DET 15,0.0,0.0,Jordan Love pass incomplete short right intended for Romeo Doubs,4.05,3.22,1,2025,13
1.0,9:31,3.0,9.0,DET 15,0.0,6.0,"Jordan Love pass complete short middle to Tucker Kraft for 15 yards, touchdown",3.22,7.0,1,2025,13
1.0,9:26,,,DET 15,0.0,7.0,Brandon McManus kicks extra point good,0.0,0.0,1,2025,13
1.0,9:26,,,GNB 35,0.0,7.0,"Brandon McManus kicks off 66 yards, returned by Jacob Saylors for 25 yards (tackle by Nick Niemann and Chris Brooks)",0.0,0.54,1,2025,13
1.0,9:22,1.0,10.0,DET 24,0.0,7.0,Jahmyr Gibbs left end for 1 yard (tackle by Lukas Van Ness and Rashan Gary),0.54,0.13,1,2025,13
1.0,8:40,2.0,9.0,DET 25,0.0,7.0,Jared Goff pass complete short right to Jahmyr Gibbs for 2 yards (tackle by Keisean Nixon),0.13,-0.3,1,2025,13
1.0,7:53,3.0,7.0,DET 27,0.0,7.0,Jared Goff pass complete short right to Jahmyr Gibbs for -2 yards (tackle by Lukas Van Ness),-0.3,-1.7,1,2025,13
1.0,7:10,4.0,9.0,DET 25,0.0,7.0,"Jack Fox punts downed by Khalil Dorsey. Penalty on Craig Reynolds: False Start, 5 yards (accepted) (no play)",-1.7,-2.03,1,2025,13
1.0,7:00,4.0,14.0,DET 20,0.0,7.0,"Jack Fox punts 43 yards, returned by Matthew Golden for 11 yards (tackle by Anthony Pittman)",-2.03,-2.13,1,2025,13
1.0,6:52,1.0,10.0,GNB 48,0.0,7.0,Jordan Love pass incomplete short middle intended for Jayden Reed,2.13,1.58,1,2025,13
1.0,6:49,2.0,10.0,GNB 48,0.0,7.0,Tucker Kraft right end for 3 yards (tackle by Brian Branch),1.58,1.29,1,2025,13
1.0,6:03,3.0,7.0,DET 49,0.0,7.0,Jordan Love pass complete deep middle to Jayden Reed for 26 yards (tackle by Amik Robertson),1.29,4.04,1,2025,13
1.0,5:25,1.0,10.0,DET 23,0.0,7.0,Josh Jacobs right guard for 5 yards (tackle by Derrick Barnes and Jack Campbell),4.04,4.21,1,2025,13
1.0,4:46,2.0,5.0,DET 18,0.0,7.0,Jordan Love pass complete short left to Chris Brooks for 2 yards,4.21,3.85,1,2025,13
1.0,4:06,3.0,3.0,DET 16,0.0,7.0,Jordan Love pass incomplete deep left intended for Romeo Doubs (defended by Terrion Arnold),3.85,2.48,1,2025,13
1.0,4:02,4.0,3.0,DET 16,0.0,10.0,Brandon McManus 34 yard field goal good,2.48,3.0,1,2025,13
1.0,3:58,,,GNB 35,0.0,10.0,"Brandon McManus kicks off 65 yards, returned by Jacob Saylors for 20 yards. Penalty on Isaac TeSlaa: Defensive Holding, 10 yards (accepted) (tackle by Ty'Ron Hopper)",0.0,-0.38,1,2025,13
1.0,3:52,1.0,10.0,DET 10,0.0,10.0,"Jahmyr Gibbs left end for no gain. Penalty on Jameson Williams: Offensive Offside, 5 yards (accepted) (tackle by Carrington Valentine) (no play)",-0.38,-0.57,1,2025,13
1.0,3:31,1.0,15.0,DET 5,0.0,10.0,Jahmyr Gibbs right end for 14 yards (tackle by Javon Bullard),-0.57,0.24,1,2025,13
1.0,2:53,2.0,1.0,DET 19,0.0,10.0,Jahmyr Gibbs up the middle for 5 yards (tackle by Xavier McKinney and Colby Wooden),0.24,0.54,1,2025,13
1.0,2:14,1.0,10.0,DET 24,0.0,10.0,Jared Goff pass complete short left to David Montgomery for -2 yards (tackle by Quay Walker and Keisean Nixon),0.54,-0.27,1,2025,13
1.0,1:34,2.0,12.0,DET 22,0.0,10.0,"Jared Goff pass complete deep right to Amon-Ra St. Brown for 19 yards GNB challenged the pass completion ruling, and the play was upheld.",-0.27,1.66,1,2025,13
1.0,1:22,1.0,10.0,DET 41,0.0,10.0,David Montgomery left tackle for 5 yards (tackle by Rashan Gary),1.66,1.8,1,2025,13
1.0,0:46,2.0,5.0,DET 46,0.0,10.0,David Montgomery up the middle for 4 yards (tackle by Kingsley Enagbare and Nazir Stackhouse),1.8,1.62,1,2025,13
2.0,15:00,3.0,1.0,DET 50,0.0,10.0,David Montgomery right tackle for 2 yards (tackle by Kingsley Enagbare and Colby Wooden),1.62,2.39,1,2025,13
2.0,14:25,1.0,10.0,GNB 48,0.0,10.0,David Montgomery right end for -1 yards (tackle by Colby Wooden),2.39,1.71,1,2025,13
2.0,13:42,2.0,11.0,GNB 49,0.0,10.0,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Keisean Nixon),1.71,1.55,1,2025,13
2.0,13:36,3.0,7.0,GNB 45,0.0,10.0,"Penalty on Xavier McKinney: Taunting / Defense, 15 yards (accepted) (no play)",1.55,3.58,1,2025,13
2.0,13:16,1.0,10.0,GNB 30,0.0,10.0,Jameson Williams right end for 3 yards (tackle by Keisean Nixon),3.58,3.44,1,2025,13
2.0,12:30,2.0,7.0,GNB 27,0.0,10.0,Jahmyr Gibbs left end for 2 yards (tackle by Edgerrin Cooper),3.44,3.01,1,2025,13
2.0,11:47,3.0,5.0,GNB 25,0.0,10.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Keisean Nixon),3.01,4.44,1,2025,13
2.0,11:07,1.0,10.0,GNB 17,0.0,10.0,Jared Goff pass complete short right to Jahmyr Gibbs for 5 yards (tackle by Edgerrin Cooper),4.44,4.69,1,2025,13
2.0,10:20,2.0,5.0,GNB 12,0.0,10.0,Jahmyr Gibbs right end for no gain (tackle by Edgerrin Cooper and Rashan Gary),4.69,3.88,1,2025,13
2.0,9:36,3.0,5.0,GNB 12,0.0,10.0,Jared Goff pass incomplete short left intended for Sam LaPorta,3.88,2.68,1,2025,13
2.0,9:30,4.0,5.0,GNB 12,3.0,10.0,Jake Bates 30 yard field goal good,2.68,3.0,1,2025,13
2.0,9:27,,,DET 35,3.0,10.0,"Jake Bates kicks off 65 yards, touchback.",0.0,1.27,1,2025,13
2.0,9:27,1.0,10.0,GNB 35,3.0,10.0,Jordan Love pass complete deep middle to Romeo Doubs for 48 yards (tackle by D.J. Reed and Terrion Arnold),1.27,4.44,1,2025,13
2.0,8:39,1.0,10.0,DET 17,3.0,16.0,"Jordan Love pass complete deep right to Jayden Reed for 17 yards, touchdown",4.44,7.0,1,2025,13
2.0,8:34,,,DET 15,3.0,17.0,Brandon McManus kicks extra point good,0.0,0.0,1,2025,13
2.0,8:34,,,GNB 35,3.0,17.0,"Brandon McManus kicks off 60 yards, returned by Grant Stuard for 24 yards (tackle by Isaiah McDuffie and Xavier McKinney)",0.0,0.87,1,2025,13
2.0,8:29,1.0,10.0,DET 29,3.0,17.0,Jared Goff pass complete short middle to David Montgomery for 6 yards (tackle by Edgerrin Cooper),0.87,1.14,1,2025,13
2.0,7:54,2.0,4.0,DET 35,3.0,17.0,David Montgomery up the middle for 3 yards (tackle by Quay Walker and Devonte Wyatt),1.14,0.83,1,2025,13
2.0,7:16,3.0,1.0,DET 38,3.0,17.0,Jared Goff pass complete short middle to David Montgomery for 7 yards (tackle by Javon Bullard and Edgerrin Cooper),0.83,1.93,1,2025,13
2.0,6:32,1.0,10.0,DET 45,3.0,17.0,David Montgomery right tackle for 6 yards (tackle by Quay Walker and Isaiah McDuffie),1.93,2.19,1,2025,13
2.0,5:57,2.0,4.0,GNB 49,3.0,17.0,David Montgomery left guard for 2 yards (tackle by Quay Walker),2.19,1.75,1,2025,13
2.0,5:13,3.0,2.0,GNB 47,3.0,17.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 9 yards (tackle by Javon Bullard),1.75,3.05,1,2025,13
2.0,4:30,1.0,10.0,GNB 38,3.0,17.0,Jahmyr Gibbs left guard for no gain (tackle by Quay Walker),3.05,2.51,1,2025,13
2.0,3:53,2.0,10.0,GNB 38,3.0,17.0,Jared Goff pass complete short right to Sam LaPorta for 4 yards (tackle by Evan Williams),2.51,2.34,1,2025,13
2.0,3:09,3.0,6.0,GNB 34,3.0,17.0,Jared Goff pass complete short left to Jameson Williams for 4 yards (tackle by Javon Bullard),2.34,1.5,1,2025,13
2.0,2:25,4.0,2.0,GNB 30,3.0,17.0,"Jared Goff pass complete short left to Jameson Williams for 11 yards. Penalty on Javon Bullard: Illegal Contact, 5 yards (declined) (tackle by Xavier McKinney)",1.5,4.31,1,2025,13
2.0,2:00,1.0,10.0,GNB 19,3.0,17.0,Jared Goff pass incomplete short right,4.31,3.75,1,2025,13
2.0,1:54,2.0,10.0,GNB 19,3.0,17.0,David Montgomery up the middle for 3 yards (tackle by Lukas Van Ness and Devonte Wyatt),3.75,3.41,1,2025,13
2.0,1:13,3.0,7.0,GNB 16,3.0,17.0,Jared Goff pass short right intended for Amon-Ra St. Brown is intercepted by Evan Williams at GB-13 and returned for no gain (tackle by Amon-Ra St. Brown),3.41,0.32,1,2025,13
2.0,1:10,1.0,10.0,GNB 13,3.0,17.0,Jordan Love pass complete short left to Matthew Golden for 5 yards (tackle by Terrion Arnold),-0.32,-0.14,1,2025,13
2.0,1:06,2.0,5.0,GNB 18,3.0,17.0,Jordan Love pass complete short right to Luke Musgrave for 4 yards (tackle by Brian Branch),-0.14,-0.35,1,2025,13
2.0,0:28,3.0,1.0,GNB 22,3.0,17.0,Josh Jacobs up the middle for no gain (tackle by Jack Campbell),-0.35,-1.9,1,2025,13
2.0,0:21,,,,,,Timeout #1 by Detroit Lions,,,1,2025,13
2.0,0:21,4.0,1.0,GNB 22,3.0,17.0,"Daniel Whelan punts 65 yards, returned by Kalif Raymond for 5 yards (tackle by Nick Niemann)",-1.9,-0.04,1,2025,13
2.0,0:05,1.0,10.0,DET 18,3.0,17.0,Jared Goff kneels for -1 yards,0.04,-0.65,1,2025,13
3.0,15:00,,,GNB 35,3.0,17.0,"Brandon McManus kicks off 55 yards, returned by Jacob Saylors for 22 yards (tackle by Kitan Oladapo and Nick Niemann)",0.0,1.07,1,2025,13
