Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,1,2025,6
1.0,15:00,,,MIA 35,0.0,0.0,"Riley Patterson kicks off 60 yards, returned by Ashton Dulin for 27 yards (tackle by Minkah Fitzpatrick)",0.0,1.07,1,2025,6
1.0,14:54,1.0,10.0,IND 32,0.0,0.0,Daniel Jones pass complete short left to Tyler Warren for 14 yards (tackle by Jack Jones and Jaelan Phillips),1.07,1.99,1,2025,6
1.0,14:20,1.0,10.0,IND 46,0.0,0.0,Daniel Jones pass incomplete short right intended for Michael Pittman,1.99,1.45,1,2025,6
1.0,14:16,2.0,10.0,IND 46,0.0,0.0,Daniel Jones pass complete short middle to Tyler Warren for 8 yards (tackle by Ifeatu Melifonwu),1.45,1.82,1,2025,6
1.0,13:34,3.0,2.0,MIA 46,0.0,0.0,Daniel Jones pass complete short left to Michael Pittman for 14 yards (tackle by Jack Jones),1.82,3.45,1,2025,6
1.0,12:54,1.0,10.0,MIA 32,0.0,0.0,Daniel Jones pass complete deep left to Tyler Warren for 21 yards (tackle by Storm Duck and Minkah Fitzpatrick),3.45,4.84,1,2025,6
1.0,12:10,1.0,10.0,MIA 11,0.0,0.0,Jonathan Taylor left tackle for 2 yards (tackle by Tyrel Dodson),4.84,4.51,1,2025,6
1.0,11:33,2.0,8.0,MIA 9,0.0,0.0,Daniel Jones pass incomplete short left intended for Alec Pierce (defended by Storm Duck),4.51,3.53,1,2025,6
1.0,11:25,3.0,8.0,MIA 9,0.0,0.0,Daniel Jones scrambles right end for 3 yards (tackle by Matt Judon),3.53,2.99,1,2025,6
1.0,10:40,4.0,5.0,MIA 6,0.0,3.0,Spencer Shrader 24 yard field goal good,2.99,3.0,1,2025,6
1.0,10:37,,,IND 35,0.0,3.0,"Spencer Shrader kicks off 58 yards, returned by D'Wayne Eskridge for 38 yards (tackle by Rodney Thomas)",0.0,1.93,1,2025,6
1.0,10:30,1.0,10.0,MIA 45,0.0,3.0,De'Von Achane left guard for 9 yards (tackle by DeForest Buckner and Camryn Bynum),1.93,2.6,1,2025,6
1.0,10:05,2.0,1.0,IND 46,0.0,3.0,Tua Tagovailoa pass complete short right to Tyreek Hill for 4 yards (tackle by Zaire Franklin),2.6,2.79,1,2025,6
1.0,9:27,1.0,10.0,IND 42,0.0,3.0,De'Von Achane up the middle for -2 yards (tackle by Kwity Paye and Joe Bachie),2.79,1.97,1,2025,6
1.0,9:01,2.0,12.0,IND 44,0.0,3.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 4 yards (tackle by Charvarius Ward),1.97,1.82,1,2025,6
1.0,8:21,3.0,8.0,IND 40,0.0,3.0,"Tua Tagovailoa pass deep right intended for Tyreek Hill is intercepted by Camryn Bynum at IND-17 and returned for 14 yards. Penalty on Zaire Franklin: Unnecessary Roughness / Defense, 15 yards (accepted) (tackle by De'Von Achane)",1.82,0.14,1,2025,6
1.0,8:12,1.0,10.0,IND 16,0.0,3.0,Daniel Jones scrambles right end for 6 yards (tackle by Minkah Fitzpatrick),-0.14,0.28,1,2025,6
1.0,7:33,2.0,4.0,IND 22,0.0,3.0,Jonathan Taylor right tackle for 1 yard (tackle by Tyrel Dodson),0.28,-0.45,1,2025,6
1.0,6:53,3.0,3.0,IND 23,0.0,3.0,Daniel Jones pass complete short right to Jonathan Taylor for 6 yards (tackle by Zach Sieler),-0.45,0.87,1,2025,6
1.0,6:22,1.0,10.0,IND 29,0.0,3.0,Jonathan Taylor right tackle for 3 yards (tackle by Minkah Fitzpatrick and Tyrel Dodson),0.87,0.73,1,2025,6
1.0,5:44,2.0,7.0,IND 32,0.0,3.0,Daniel Jones pass complete short left to Josh Downs for 6 yards (tackle by Kenneth Grant),0.73,0.83,1,2025,6
1.0,5:03,3.0,1.0,IND 38,0.0,3.0,Tyler Warren up the middle for 3 yards (tackle by Matthew Butler),0.83,1.66,1,2025,6
1.0,4:26,1.0,10.0,IND 41,0.0,3.0,Jonathan Taylor up the middle for 13 yards (tackle by Ifeatu Melifonwu),1.66,2.52,1,2025,6
1.0,3:45,1.0,10.0,MIA 46,0.0,3.0,Jonathan Taylor left tackle for 1 yard (tackle by Jordyn Brooks),2.52,2.11,1,2025,6
1.0,3:07,2.0,9.0,MIA 45,0.0,3.0,Daniel Jones pass complete short right to Jonathan Taylor for 16 yards (tackle by Jack Jones),2.11,3.64,1,2025,6
1.0,2:25,1.0,10.0,MIA 29,0.0,3.0,Jonathan Taylor up the middle for 5 yards (tackle by Ifeatu Melifonwu),3.64,3.78,1,2025,6
1.0,1:44,2.0,5.0,MIA 24,0.0,3.0,Jonathan Taylor up the middle for 4 yards (tackle by Matt Judon and Jordyn Brooks),3.78,3.6,1,2025,6
1.0,0:59,3.0,1.0,MIA 20,0.0,3.0,Daniel Jones up the middle for 3 yards (tackle by Jordan Phillips),3.6,4.44,1,2025,6
