Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Russell Wilson,NYG,1,0,1,2025,9
Tyrone Tracy Jr.,NYG,0,0,1,2025,9
Devin Singletary,NYG,0,0,1,2025,9
Malik Nabers,NYG,0,0,1,2025,9
Wan'Dale Robinson,NYG,0,0,1,2025,9
Daniel Bellinger,NYG,0,0,1,2025,9
Theo Johnson,NYG,0,0,1,2025,9
Darius Slayton,NYG,0,0,1,2025,9
Cam Skattebo,NYG,0,0,1,2025,9
Jayden Daniels,WAS,0,0,1,2025,9
Jacory Croskey-Merritt,WAS,0,0,1,2025,9
Austin Ekeler,WAS,0,0,1,2025,9
Jeremy McNichols,WAS,0,0,1,2025,9
Deebo Samuel,WAS,0,0,1,2025,9
Chris Moore,WAS,0,0,1,2025,9
Terry McLaurin,WAS,0,0,1,2025,9
Noah Brown,WAS,0,0,1,2025,9
Zach Ertz,WAS,0,0,1,2025,9
Jaylin Lane,WAS,0,0,1,2025,9
