Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
De'Von Achane,MIA,7,55,0,2.0,19,2.7,36,5.1,2,3.5,1,2025,6
Ollie Gordon,MIA,2,4,0,1.0,2,1.0,2,1.0,0,,1,2025,6
Tua Tagovailoa,MIA,1,7,0,0.0,7,7.0,0,0.0,0,,1,2025,6
Malik Washington,MIA,1,9,0,0.0,3,3.0,6,6.0,0,,1,2025,6
Zach Wilson,MIA,1,3,0,0.0,3,3.0,0,0.0,0,,1,2025,6
Jonathan Taylor,IND,18,71,0,3.0,33,1.8,38,2.1,0,,1,2025,6
DJ Giddens,IND,12,41,0,2.0,20,1.7,21,1.8,0,,1,2025,6
Daniel Jones,IND,7,26,2,4.0,18,2.6,8,1.1,0,,1,2025,6
Ulysses Bentley,IND,1,0,0,,0,0.0,0,0.0,0,,1,2025,6
Ashton Dulin,IND,1,15,0,1.0,10,10.0,5,5.0,0,,1,2025,6
Tyler Warren,IND,1,3,0,1.0,1,1.0,2,2.0,0,,1,2025,6
