Unnamed: 0,BAL,BUF,week,year,game_id
First Downs,19,29,1,2025,15
Rush-Yds-TDs,29-238-3,31-108-3,1,2025,15
Cmp-Att-Yd-TD-INT,14-19-209-2-0,33-46-394-2-0,1,2025,15
Sacked-Yards,2-15,1-5,1,2025,15
Net Pass Yards,194,389,1,2025,15
Total Yards,432,497,1,2025,15
Fumbles-Lost,2-1,1-0,1,2025,15
Turnovers,1,0,1,2025,15
Penalties-Yards,7-51,5-38,1,2025,15
Third Down Conv.,6-11,7-15,1,2025,15
Fourth Down Conv.,0-0,1-1,1,2025,15
Time of Possession,25:11,34:49,1,2025,15
