Quarter,Time,Tm,Detail,DET,GNB,week,year,game_id
1.0,9:25,Packers,Tucker Kraft 15 yard pass from Jordan Love (Brandon McManus kick),0,7,1,2025,13
,3:58,Packers,Brandon McManus 34 yard field goal,0,10,1,2025,13
2.0,9:27,Lions,Jake Bates 30 yard field goal,3,10,1,2025,13
,8:34,Packers,Jayden Reed 17 yard pass from Jordan Love (Brandon McManus kick),3,17,1,2025,13
3.0,9:40,Lions,Jake Bates 27 yard field goal,6,17,1,2025,13
4.0,7:57,Packers,Josh Jacobs 3 yard rush (Brandon McManus kick),6,24,1,2025,13
,4:22,Packers,Brandon McManus 38 yard field goal,6,27,1,2025,13
,0:55,Lions,Isaac TeSlaa 13 yard pass from Jared Goff (Jake Bates kick),13,27,1,2025,13
