Quarter,Time,Tm,Detail,ARI,NOR,week,year,game_id
1.0,5:03,Cardinals,Chad Ryland 42 yard field goal,3,0,1,2025,7
2.0,14:20,Saints,Alvin Kamara 18 yard rush (Blake Grupe kick),3,7,1,2025,7
,10:05,Cardinals,Marvin Harrison Jr. 1 yard pass from Kyler Murray (Chad Ryland kick),10,7,1,2025,7
,4:58,Saints,Blake Grupe 36 yard field goal,10,10,1,2025,7
,0:28,Cardinals,James Conner 4 yard pass from Kyler Murray (Chad Ryland kick),17,10,1,2025,7
3.0,9:16,Cardinals,Chad Ryland 50 yard field goal,20,10,1,2025,7
4.0,2:42,Saints,Blake Grupe 28 yard field goal,20,13,1,2025,7
