Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,,1,2025,5
1.0,15:00,,,CLE 35,0.0,0.0,"Andre Szmyt kicks off 51 yards, returned by Charlie Jones for 18 yards (tackle by Mohamoud Diabate)",0.0,1.07,1,2025,5
1.0,14:55,1.0,10.0,CIN 32,0.0,0.0,Joe Burrow pass complete short right to Noah Fant for 12 yards (tackle by Ronnie Hickman),1.07,1.86,1,2025,5
1.0,14:20,1.0,10.0,CIN 44,0.0,0.0,Chase Brown up the middle for -1 yards (tackle by Devin Bush),1.86,1.18,1,2025,5
1.0,13:39,2.0,11.0,CIN 43,0.0,0.0,"Chase Brown right guard for no gain. Penalty on Myles Garrett: Defensive Offside, 5 yards (accepted) (no play)",1.18,1.86,1,2025,5
1.0,13:09,2.0,6.0,CIN 48,0.0,0.0,Chase Brown up the middle for 5 yards (tackle by Carson Schwesinger and Grant Delpit),1.86,1.82,1,2025,5
1.0,12:30,3.0,1.0,CLE 47,0.0,0.0,Chase Brown right guard for 1 yard (tackle by Mason Graham and Isaiah McGuire),1.82,2.52,1,2025,5
1.0,11:52,1.0,10.0,CLE 46,0.0,0.0,Joe Burrow pass incomplete short left intended for Noah Fant,2.52,1.98,1,2025,5
1.0,11:47,2.0,10.0,CLE 46,0.0,0.0,Chase Brown up the middle for 6 yards (tackle by Myles Harden and Adin Huntington),1.98,2.08,1,2025,5
1.0,11:08,3.0,4.0,CLE 40,0.0,0.0,Joe Burrow pass complete short middle to Tee Higgins for 13 yards (tackle by Myles Harden),2.08,3.78,1,2025,5
1.0,10:29,1.0,10.0,CLE 27,0.0,0.0,"Chase Brown right guard for no gain. Penalty on Amarius Mims: Illegal Formation, 4 yards (accepted) (no play)",3.78,3.51,1,2025,5
1.0,10:12,1.0,14.0,CLE 31,0.0,0.0,Joe Burrow pass complete short right to Chase Brown for 7 yards (tackle by Devin Bush and Carson Schwesinger),3.51,3.64,1,2025,5
1.0,9:30,2.0,7.0,CLE 24,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Carson Schwesinger and Ronnie Hickman),3.64,3.84,1,2025,5
1.0,8:55,3.0,1.0,CLE 18,0.0,0.0,Chase Brown right guard for 5 yards (tackle by Ronnie Hickman and Grant Delpit),3.84,4.71,1,2025,5
1.0,8:14,1.0,10.0,CLE 13,0.0,0.0,Chase Brown right guard for 8 yards (tackle by Ronnie Hickman),4.71,5.54,1,2025,5
1.0,7:37,2.0,2.0,CLE 5,6.0,0.0,"Chase Brown right guard for 5 yards, touchdown",5.54,7.0,1,2025,5
1.0,7:32,,,CLE 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,1,2025,5
1.0,7:32,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 61 yards, returned by DeAndre Carter for 29 yards (tackle by Barrett Carter)",0.0,1.14,1,2025,5
1.0,7:27,1.0,10.0,CLE 33,7.0,0.0,Dylan Sampson right guard for 5 yards (tackle by Demetrius Knight),1.14,1.27,1,2025,5
1.0,6:51,2.0,5.0,CLE 38,7.0,0.0,Joe Flacco pass complete short right to Harold Fannin for 5 yards (tackle by Demetrius Knight),1.27,1.8,1,2025,5
