Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Bills to receive the opening kickoff.",,,1,2025,15
1.0,15:00,,,BAL 35,0.0,0.0,"Tyler Loop kicks off 56 yards, returned by Brandon Codrington for 41 yards (tackle by Tyler Loop)",0.0,2.26,1,2025,15
1.0,14:54,1.0,10.0,BUF 50,0.0,0.0,Josh Allen pass complete short right to Dawson Knox for 8 yards (tackle by Kyle Hamilton),2.26,2.79,1,2025,15
1.0,14:18,2.0,2.0,BAL 42,0.0,0.0,James Cook right guard for 3 yards (tackle by Malaki Starks),2.79,2.98,1,2025,15
1.0,13:39,1.0,10.0,BAL 39,0.0,0.0,Josh Allen left tackle for 3 yards (tackle by Nnamdi Madubuike),2.98,2.85,1,2025,15
1.0,12:49,2.0,7.0,BAL 36,0.0,0.0,Josh Allen pass incomplete short left intended for Khalil Shakir,2.85,2.15,1,2025,15
1.0,12:44,3.0,7.0,BAL 36,0.0,0.0,"Penalty on Nnamdi Madubuike: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.15,2.81,1,2025,15
1.0,12:44,3.0,2.0,BAL 31,0.0,0.0,Ty Johnson left end for 17 yards (tackle by Kyle Hamilton),2.81,4.65,1,2025,15
1.0,12:08,1.0,10.0,BAL 14,0.0,0.0,Josh Allen pass complete short left to Ray Davis for -1 yards (tackle by Trenton Simpson and Tavius Robinson),4.65,3.85,1,2025,15
1.0,11:23,2.0,11.0,BAL 15,0.0,6.0,"Josh Allen pass complete short middle to Dalton Kincaid for 15 yards, touchdown",3.85,7.0,1,2025,15
1.0,11:19,,,BAL 15,0.0,7.0,Matt Prater kicks extra point good,0.0,0.0,1,2025,15
1.0,11:19,,,BUF 35,0.0,7.0,"Matt Prater kicks off 56 yards, returned by Rasheen Ali for 22 yards (tackle by Joe Andreessen and Javon Solomon)",0.0,1.0,1,2025,15
1.0,11:14,1.0,10.0,BAL 31,0.0,7.0,Derrick Henry right tackle for 6 yards (tackle by Ed Oliver),1.0,1.27,1,2025,15
1.0,10:58,2.0,4.0,BAL 37,0.0,7.0,Derrick Henry left guard for 1 yard (tackle by Gregory Rousseau),1.27,0.7,1,2025,15
1.0,10:12,3.0,3.0,BAL 38,0.0,7.0,Lamar Jackson pass complete short left to Justice Hill for 3 yards (tackle by Christian Benford),0.7,1.66,1,2025,15
1.0,9:36,1.0,10.0,BAL 41,0.0,7.0,Lamar Jackson pass complete short left to Mark Andrews for 5 yards (tackle by Cole Bishop),1.66,1.8,1,2025,15
1.0,8:55,2.0,5.0,BAL 46,0.0,7.0,Derrick Henry right tackle for 2 yards (tackle by Christian Benford),1.8,1.36,1,2025,15
1.0,8:20,3.0,3.0,BAL 48,0.0,7.0,Lamar Jackson left end for 11 yards (tackle by Dorian Strong),1.36,2.85,1,2025,15
1.0,7:38,1.0,10.0,BUF 41,0.0,7.0,Lamar Jackson pass complete short right to Derrick Henry for 13 yards (tackle by Dorian Williams and Taylor Rapp),2.85,3.71,1,2025,15
1.0,7:02,1.0,10.0,BUF 28,0.0,7.0,Justice Hill left guard for 1 yard (tackle by Ed Oliver),3.71,3.3,1,2025,15
1.0,6:18,2.0,9.0,BUF 27,0.0,7.0,"Lamar Jackson sacked by Gregory Rousseau for no gain. Penalty on Dorian Strong: Defensive Holding, 5 yards (accepted) (no play)",3.3,4.11,1,2025,15
1.0,5:41,1.0,10.0,BUF 22,0.0,7.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,4.11,3.56,1,2025,15
1.0,5:32,2.0,10.0,BUF 22,0.0,7.0,Zay Flowers right tackle for 8 yards (tackle by Cole Bishop),3.56,4.02,1,2025,15
1.0,4:55,3.0,3.0,BUF 14,0.0,7.0,"Penalty on Roger Rosengarten: False Start, 5 yards (accepted) (no play)",4.02,3.18,1,2025,15
1.0,4:40,3.0,8.0,BUF 19,0.0,7.0,Lamar Jackson sacked by Ed Oliver for 15 yards,3.18,1.06,1,2025,15
1.0,3:43,4.0,23.0,BUF 34,3.0,7.0,Tyler Loop 52 yard field goal good,1.06,3.0,1,2025,15
1.0,3:38,,,BAL 35,3.0,7.0,"Tyler Loop kicks off 61 yards, returned by Ty Johnson for 31 yards (tackle by Tylan Wallace)",0.0,1.27,1,2025,15
1.0,3:28,1.0,10.0,BUF 35,3.0,7.0,James Cook up the middle for 9 yards (tackle by Kyle Hamilton and Malaki Starks),1.27,1.94,1,2025,15
1.0,2:53,2.0,1.0,BUF 44,3.0,7.0,James Cook left tackle for no gain (tackle by Travis Jones and Chidobe Awuzie),1.94,1.22,1,2025,15
1.0,2:29,3.0,1.0,BUF 44,3.0,7.0,James Cook left guard for -2 yards (tackle by Travis Jones and Kyle Van Noy),1.22,-0.59,1,2025,15
1.0,1:54,4.0,3.0,BUF 42,3.0,7.0,Brad Robbins punts 43 yards downed by Sam Franklin,-0.59,0.22,1,2025,15
1.0,1:39,1.0,10.0,BAL 15,3.0,7.0,Derrick Henry right guard for 11 yards (tackle by Christian Benford and Taylor Rapp),-0.22,0.67,1,2025,15
1.0,0:59,1.0,10.0,BAL 26,3.0,7.0,Lamar Jackson pass complete deep right to Zay Flowers for 20 yards (tackle by Christian Benford),0.67,1.99,1,2025,15
1.0,0:20,1.0,10.0,BAL 46,3.0,7.0,Derrick Henry right guard for 2 yards (tackle by Christian Benford and Terrel Bernard),1.99,1.72,1,2025,15
2.0,15:00,2.0,8.0,BAL 48,3.0,7.0,Lamar Jackson pass complete short middle to Rashod Bateman for 5 yards (tackle by Taylor Rapp),1.72,1.69,1,2025,15
2.0,14:20,3.0,3.0,BUF 47,3.0,7.0,Lamar Jackson left tackle for 17 yards (tackle by Taylor Rapp),1.69,3.58,1,2025,15
2.0,13:41,1.0,10.0,BUF 30,9.0,7.0,"Derrick Henry right tackle for 30 yards, touchdown",3.58,7.0,1,2025,15
2.0,13:35,,,BUF 15,10.0,7.0,Tyler Loop kicks extra point good,0.0,0.0,1,2025,15
2.0,13:35,,,BAL 35,10.0,7.0,"Tyler Loop kicks off 63 yards, returned by Brandon Codrington for 21 yards (tackle by Jake Hummel)",0.0,0.48,1,2025,15
2.0,13:29,1.0,10.0,BUF 23,10.0,7.0,Josh Allen pass incomplete short right intended for Keon Coleman,0.48,-0.07,1,2025,15
2.0,13:25,2.0,10.0,BUF 23,10.0,7.0,Josh Allen pass complete short right to Josh Palmer for 4 yards (tackle by Nate Wiggins),-0.07,-0.23,1,2025,15
2.0,12:45,3.0,6.0,BUF 27,10.0,7.0,"Josh Allen pass complete short right to Dalton Kincaid for no gain. Dalton Kincaid fumbles, ball out of bounds at BUF-27 (forced by Kyle Hamilton)",-0.23,-1.57,1,2025,15
2.0,12:14,4.0,6.0,BUF 27,10.0,7.0,"Brad Robbins punts 48 yards, returned by LaJohntay Wester for 6 yards (tackle by Cameron Lewis)",-1.57,-1.0,1,2025,15
2.0,12:03,1.0,10.0,BAL 31,10.0,7.0,Lamar Jackson pass complete short right to Rashod Bateman for 5 yards (tackle by Christian Benford),1.0,1.14,1,2025,15
2.0,11:27,2.0,5.0,BAL 36,10.0,7.0,Derrick Henry right tackle for 49 yards (tackle by Dorian Strong),1.14,4.58,1,2025,15
2.0,10:40,1.0,10.0,BUF 15,10.0,7.0,Rasheen Ali up the middle for 5 yards (tackle by Matt Milano),4.58,4.84,1,2025,15
2.0,9:51,2.0,5.0,BUF 10,16.0,7.0,"Lamar Jackson left tackle for 10 yards, touchdown",4.84,7.0,1,2025,15
2.0,9:47,,,BUF 15,17.0,7.0,Tyler Loop kicks extra point good,0.0,0.0,1,2025,15
2.0,9:47,,,BAL 35,17.0,7.0,"Tyler Loop kicks off 64 yards, returned by Brandon Codrington for 29 yards (tackle by T.J. Tampa)",0.0,0.94,1,2025,15
2.0,9:41,1.0,10.0,BUF 30,17.0,7.0,Ty Johnson right end for 7 yards (tackle by Nnamdi Madubuike and Kyle Hamilton),0.94,1.34,1,2025,15
2.0,9:03,2.0,3.0,BUF 37,17.0,7.0,Elijah Moore right end for 8 yards (tackle by Tavius Robinson),1.34,1.93,1,2025,15
2.0,8:18,1.0,10.0,BUF 45,17.0,7.0,Josh Allen pass incomplete short left intended for Ty Johnson (defended by Broderick Washington),1.93,1.38,1,2025,15
2.0,8:10,2.0,10.0,BUF 45,17.0,7.0,Josh Allen pass complete short right to James Cook for 1 yard (tackle by Chidobe Awuzie and Odafe Oweh),1.38,0.83,1,2025,15
2.0,7:32,3.0,9.0,BUF 46,17.0,7.0,Josh Allen pass complete deep left to Keon Coleman for 17 yards,0.83,3.12,1,2025,15
2.0,7:08,1.0,10.0,BAL 37,17.0,7.0,Josh Allen pass complete short right to Dawson Knox for 12 yards (tackle by Roquan Smith),3.12,3.91,1,2025,15
2.0,6:30,1.0,10.0,BAL 25,17.0,7.0,James Cook right tackle for 7 yards (tackle by Roquan Smith),3.91,4.37,1,2025,15
2.0,5:46,2.0,3.0,BAL 18,17.0,7.0,James Cook up the middle for no gain (tackle by Tavius Robinson),4.37,3.66,1,2025,15
2.0,5:12,3.0,3.0,BAL 18,17.0,7.0,Josh Allen pass complete short middle to Khalil Shakir for 6 yards (tackle by Kyle Hamilton),3.66,4.78,1,2025,15
2.0,4:29,1.0,10.0,BAL 12,17.0,7.0,Josh Allen pass incomplete short left intended for Keon Coleman,4.78,4.1,1,2025,15
2.0,4:24,2.0,10.0,BAL 12,17.0,7.0,James Cook left tackle for 2 yards (tackle by Teddye Buchanan and Roquan Smith),4.1,3.48,1,2025,15
2.0,3:43,3.0,8.0,BAL 10,17.0,7.0,Josh Allen pass complete short middle to Khalil Shakir for 3 yards (tackle by Chidobe Awuzie and Malaki Starks),3.48,2.98,1,2025,15
2.0,2:51,4.0,5.0,BAL 7,17.0,10.0,Matt Prater 25 yard field goal good,2.98,3.0,1,2025,15
2.0,2:50,,,BUF 35,17.0,10.0,"Matt Prater kicks off 60 yards, returned by Rasheen Ali for 41 yards (tackle by Dorian Williams)",0.0,1.99,1,2025,15
2.0,2:42,1.0,10.0,BAL 46,17.0,10.0,Derrick Henry right guard for 17 yards (tackle by Taylor Rapp),1.99,3.12,1,2025,15
2.0,2:04,1.0,10.0,BUF 37,17.0,10.0,Derrick Henry up the middle for 5 yards (tackle by A.J. Epenesa),3.12,3.25,1,2025,15
2.0,1:58,2.0,5.0,BUF 32,17.0,10.0,Lamar Jackson pass incomplete short right intended for Rashod Bateman (defended by Gregory Rousseau),3.25,2.54,1,2025,15
2.0,1:53,,,,,,Timeout #1 by Baltimore Ravens,,,1,2025,15
2.0,1:53,3.0,5.0,BUF 32,17.0,10.0,Lamar Jackson pass complete short middle to Zay Flowers for 15 yards (tackle by Cameron Lewis),2.54,4.44,1,2025,15
2.0,1:46,,,,,,Timeout #1 by Buffalo Bills,,,1,2025,15
2.0,1:46,1.0,10.0,BUF 17,17.0,10.0,"Justice Hill left tackle for -15 yards. Justice Hill fumbles (forced by Joey Bosa), recovered by Justice Hill at BUF-29 (tackle by Terrel Bernard)",4.44,1.87,1,2025,15
2.0,1:38,,,,,,Timeout #2 by Buffalo Bills,,,1,2025,15
2.0,1:38,2.0,25.0,BUF 32,17.0,10.0,Lamar Jackson pass complete short middle to Zay Flowers for 1 yard (tackle by Joey Bosa),1.87,1.36,1,2025,15
2.0,1:30,,,,,,Timeout #3 by Buffalo Bills,,,1,2025,15
2.0,1:30,3.0,24.0,BUF 31,17.0,10.0,Lamar Jackson left tackle for no gain (tackle by Ed Oliver),1.36,1.32,1,2025,15
2.0,0:35,4.0,24.0,BUF 31,20.0,10.0,Tyler Loop 49 yard field goal good,1.32,3.0,1,2025,15
