Player,Pos,home_team,team,week,year,game_id
Kyler Murray,QB,0,Cardinals,1,2025,7
James Conner,RB,0,Cardinals,1,2025,7
Marvin Harrison Jr.,WR,0,Cardinals,1,2025,7
Tip Reiman,TE,0,Cardinals,1,2025,7
Trey McBride,TE,0,Cardinals,1,2025,7
Elijah Higgins,TE,0,Cardinals,1,2025,7
Isaiah Adams,OL,0,Cardinals,1,2025,7
Paris Johnson,OL,0,Cardinals,1,2025,7
Hjalte Froholdt,OL,0,Cardinals,1,2025,7
Jonah Williams,OL,0,Cardinals,1,2025,7
Evan Brown,OL,0,Cardinals,1,2025,7
Calais Campbell,DL,0,Cardinals,1,2025,7
Darius Robinson,DL,0,Cardinals,1,2025,7
Dalvin Tomlinson,DT,0,Cardinals,1,2025,7
Baron Browning,OLB,0,Cardinals,1,2025,7
Josh Sweat,OLB,0,Cardinals,1,2025,7
Mack Wilson,LB,0,Cardinals,1,2025,7
Akeem Davis-Gaither,LB,0,Cardinals,1,2025,7
Max Melton,CB,0,Cardinals,1,2025,7
Garrett Williams,CB,0,Cardinals,1,2025,7
Jalen Thompson,S,0,Cardinals,1,2025,7
Budda Baker,S,0,Cardinals,1,2025,7
