Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Derrick Henry,BAL,18,169,2,5.0,78,4.3,91,5.1,2,9.0,1,2025,15
Lamar Jackson,BAL,6,70,1,5.0,48,8.0,22,3.7,1,6.0,1,2025,15
Zay Flowers,BAL,2,8,0,0.0,6,3.0,2,1.0,0,,1,2025,15
Justice Hill,BAL,2,-14,0,0.0,-14,-7.0,0,0.0,0,,1,2025,15
Rasheen Ali,BAL,1,5,0,,3,3.0,2,2.0,0,,1,2025,15
Josh Allen,BUF,14,30,2,4.0,25,1.8,5,0.4,0,,1,2025,15
James Cook,BUF,13,44,1,3.0,21,1.6,23,1.8,1,13.0,1,2025,15
Ty Johnson,BUF,2,24,0,1.0,18,9.0,6,3.0,0,,1,2025,15
Ray Davis,BUF,1,2,0,,1,1.0,1,1.0,0,,1,2025,15
Elijah Moore,BUF,1,8,0,1.0,6,6.0,2,2.0,0,,1,2025,15
