Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Chuba Hubbard,CAR,16,57,0,3.0,29,1.8,28,1.8,0,,1,2025,4
Bryce Young,CAR,5,40,0,2.0,40,8.0,0,0.0,0,,1,2025,4
Rico Dowdle,CAR,3,12,0,,7,2.3,5,1.7,0,,1,2025,4
Trevor Etienne,CAR,1,4,0,,2,2.0,2,2.0,0,,1,2025,4
Travis Etienne,JAX,16,143,0,3.0,56,3.5,87,5.4,0,,1,2025,4
Tank Bigsby,JAX,5,12,0,1.0,6,1.2,6,1.2,0,,1,2025,4
Trevor Lawrence,JAX,4,12,0,2.0,12,3.0,0,0.0,0,,1,2025,4
Bhayshul Tuten,JAX,3,11,0,1.0,2,0.7,9,3.0,0,,1,2025,4
Dyami Brown,JAX,2,6,0,1.0,1,0.5,5,2.5,0,,1,2025,4
LeQuint Allen,JAX,1,7,0,1.0,2,2.0,5,5.0,0,,1,2025,4
Brian Thomas,JAX,1,9,1,1.0,9,9.0,0,0.0,0,,1,2025,4
