Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Nick Chubb,HOU,13,60,0,4.0,34,2.6,26,2.0,0,,1,2025,14
C.J. Stroud,HOU,5,32,0,3.0,30,6.0,2,0.4,0,,1,2025,14
Woody Marks,HOU,3,3,0,,1,0.3,2,0.7,0,,1,2025,14
Dameon Pierce,HOU,3,5,0,,1,0.3,4,1.3,0,,1,2025,14
Dare Ogunbowale,HOU,2,9,0,0.0,1,0.5,8,4.0,0,,1,2025,14
Xavier Hutchinson,HOU,1,5,0,1.0,0,0.0,5,5.0,0,,1,2025,14
Kyren Williams,LAR,18,66,1,3.0,23,1.3,43,2.4,2,9.0,1,2025,14
Matthew Stafford,LAR,4,-2,0,0.0,-2,-0.5,0,0.0,0,,1,2025,14
Blake Corum,LAR,1,2,0,,0,0.0,2,2.0,1,1.0,1,2025,14
Puka Nacua,LAR,1,1,0,0.0,0,0.0,1,1.0,0,,1,2025,14
Jordan Whittington,LAR,1,5,0,,5,5.0,0,0.0,0,,1,2025,14
