Quarter,Time,Tm,Detail,TEN,DEN,week,year,game_id
1.0,11:58,Titans,Joey Slye 50 yard field goal,3,0,1,2025,11
,8:35,Broncos,Wil Lutz 39 yard field goal,3,3,1,2025,11
2.0,2:16,Titans,Joey Slye 33 yard field goal,6,3,1,2025,11
,0:16,Broncos,Courtland Sutton 22 yard pass from Bo Nix (Wil Lutz kick),6,10,1,2025,11
,0:02,Titans,Joey Slye 42 yard field goal,9,10,1,2025,11
3.0,11:56,Titans,Joey Slye 35 yard field goal,12,10,1,2025,11
,4:17,Broncos,Wil Lutz 33 yard field goal,12,13,1,2025,11
4.0,7:37,Broncos,J.K. Dobbins 19 yard rush (Wil Lutz kick),12,20,1,2025,11
