Quarter,Time,Down,ToGo,Location,CAR,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,,1,2025,4
1.0,15:00,,,CAR 35,0.0,0.0,"Ryan Fitzgerald kicks off 57 yards, returned by Tank Bigsby for 20 yards (tackle by Brycen Tremayne)",0.0,0.81,1,2025,4
1.0,14:56,1.0,10.0,JAX 28,0.0,0.0,Trevor Lawrence pass incomplete deep left intended for Brian Thomas (defended by Michael Jackson),0.81,0.26,1,2025,4
1.0,14:51,2.0,10.0,JAX 28,0.0,0.0,Trevor Lawrence pass complete short middle to Brenton Strange for 9 yards (tackle by Chau Smith-Wade),0.26,0.76,1,2025,4
1.0,14:30,3.0,1.0,JAX 37,0.0,0.0,Travis Etienne up the middle for no gain (tackle by Tershawn Wharton),0.76,-0.91,1,2025,4
1.0,13:47,4.0,1.0,JAX 37,0.0,0.0,Dyami Brown right end for 4 yards (tackle by Nick Scott),-0.91,1.66,1,2025,4
1.0,13:08,1.0,10.0,JAX 41,0.0,0.0,"Travis Etienne left end for no gain. Penalty on Robert Hainsey: Offensive Holding, 10 yards (accepted) (tackle by Trevin Wallace) (no play)",1.66,1.0,1,2025,4
1.0,12:44,1.0,20.0,JAX 31,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Brian Thomas,1.0,-0.23,1,2025,4
1.0,12:38,2.0,20.0,JAX 31,0.0,0.0,Trevor Lawrence pass complete short left to Travis Hunter for 10 yards (tackle by Princely Umanmielen),-0.23,0.43,1,2025,4
1.0,12:04,3.0,10.0,JAX 41,0.0,0.0,"Trevor Lawrence pass complete short right to Brenton Strange for 24 yards. Penalty on Tershawn Wharton: Defensive Offside, 5 yards (declined) (tackle by Jaycee Horn and Lathan Ransom)",0.43,3.25,1,2025,4
1.0,11:45,1.0,10.0,CAR 35,0.0,0.0,"Travis Etienne up the middle for no gain. Penalty on Johnny Mundt: Offensive Holding, 10 yards (accepted) (tackle by Tre'von Moehrig) (no play)",3.25,2.59,1,2025,4
1.0,11:17,1.0,20.0,CAR 45,0.0,0.0,Travis Etienne up the middle for 10 yards (tackle by Tre'von Moehrig and Nick Scott),2.59,2.7,1,2025,4
1.0,10:34,2.0,10.0,CAR 35,0.0,0.0,Trevor Lawrence pass complete short left to Brenton Strange for 16 yards (tackle by Tre'von Moehrig),2.7,4.31,1,2025,4
1.0,9:41,1.0,10.0,CAR 19,0.0,0.0,"Trevor Lawrence pass incomplete short left. Penalty on Trevor Lawrence: Intentional Grounding, 12 yards (accepted)",4.31,2.14,1,2025,4
1.0,9:41,2.0,22.0,CAR 31,0.0,0.0,Trevor Lawrence pass complete short left to Travis Hunter for 10 yards (tackle by Trevin Wallace),2.14,2.81,1,2025,4
1.0,9:01,3.0,12.0,CAR 21,0.0,0.0,Trevor Lawrence pass complete short right to LeQuint Allen for 4 yards (tackle by Christian Rozeboom),2.81,2.31,1,2025,4
1.0,8:18,4.0,8.0,CAR 17,0.0,3.0,Cam Little 35 yard field goal good,2.31,3.0,1,2025,4
1.0,8:15,,,JAX 35,0.0,3.0,"Cam Little kicks off 63 yards, returned by Trevor Etienne for 27 yards (tackle by Jarrian Jones)",0.0,0.87,1,2025,4
1.0,8:09,1.0,10.0,CAR 29,0.0,3.0,Chuba Hubbard up the middle for 5 yards (tackle by Foyesade Oluokun),0.87,1.0,1,2025,4
1.0,7:29,2.0,5.0,CAR 34,0.0,3.0,Chuba Hubbard up the middle for 3 yards (tackle by Eric Murray),1.0,0.7,1,2025,4
1.0,6:46,3.0,2.0,CAR 37,0.0,3.0,Bryce Young scrambles right end for 3 yards (tackle by Tyson Campbell),0.7,1.6,1,2025,4
