#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,JAX 28,13,6:45,55,Field Goal,1,Jaguars,1,2025,4
2,1,0:36,JAX 22,3,2:10,5,Punt,1,Jaguars,1,2025,4
3,2,12:44,CAR 35,8,4:12,35,Touchdown,1,Jaguars,1,2025,4
4,2,3:39,JAX 9,4,1:50,91,Touchdown,1,Jaguars,1,2025,4
5,2,0:48,JAX 32,6,0:47,39,Field Goal,1,Jaguars,1,2025,4
6,3,9:45,JAX 6,3,0:56,3,Punt,1,Jaguars,1,2025,4
7,3,4:39,JAX 14,6,2:39,3,Interception,1,Jaguars,1,2025,4
8,3,0:16,JAX 33,15,8:07,49,Field Goal,1,Jaguars,1,2025,4
9,4,4:47,CAR 48,7,2:50,38,Field Goal,1,Jaguars,1,2025,4
10,4,0:44,CAR 48,2,0:44,-2,End of Game,1,Jaguars,1,2025,4
