Quarter,Time,Tm,Detail,KAN,LAC,week,year,game_id
1.0,9:11,Chargers,Quentin Johnston 5 yard pass from Justin Herbert (Cameron Dicker kick),0,7,1,2025,2
2.0,13:47,Chargers,Cameron Dicker 39 yard field goal,0,10,1,2025,2
,4:50,Chiefs,Harrison Butker 35 yard field goal,3,10,1,2025,2
,0:45,Chargers,Cameron Dicker 36 yard field goal,3,13,1,2025,2
,0:00,Chiefs,Harrison Butker 59 yard field goal,6,13,1,2025,2
3.0,8:05,Chiefs,Patrick Mahomes 11 yard rush (Harrison Butker kick failed),12,13,1,2025,2
,0:32,Chargers,Keenan Allen 11 yard pass from Justin Herbert (Cameron Dicker kick),12,20,1,2025,2
4.0,12:04,Chiefs,Travis Kelce 37 yard pass from Patrick Mahomes (pass failed),18,20,1,2025,2
,5:02,Chargers,Quentin Johnston 23 yard pass from Justin Herbert (Cameron Dicker kick),18,27,1,2025,2
,2:34,Chiefs,Harrison Butker 27 yard field goal,21,27,1,2025,2
