Unnamed: 0,DET,GNB,week,year,game_id
First Downs,16,14,1,2025,13
Rush-Yds-TDs,22-46-0,25-78-1,1,2025,13
Cmp-Att-Yd-TD-INT,31-39-225-1-1,16-22-188-2-0,1,2025,13
Sacked-Yards,4-25,0-0,1,2025,13
Net Pass Yards,200,188,1,2025,13
Total Yards,246,266,1,2025,13
Fumbles-Lost,0-0,0-0,1,2025,13
Turnovers,1,0,1,2025,13
Penalties-Yards,7-40,4-40,1,2025,13
Third Down Conv.,5-15,4-10,1,2025,13
Fourth Down Conv.,3-4,1-1,1,2025,13
Time of Possession,35:25,24:35,1,2025,13
