Unnamed: 0,NYG,WAS,week,year,game_id
First Downs,17,25,1,2025,9
Rush-Yds-TDs,23-74-0,32-220-2,1,2025,9
Cmp-Att-Yd-TD-INT,17-37-168-0-0,19-30-233-1-0,1,2025,9
Sacked-Yards,2-11,3-21,1,2025,9
Net Pass Yards,157,212,1,2025,9
Total Yards,231,432,1,2025,9
Fumbles-Lost,1-0,0-0,1,2025,9
Turnovers,0,0,1,2025,9
Penalties-Yards,6-35,12-89,1,2025,9
Third Down Conv.,4-16,4-11,1,2025,9
Fourth Down Conv.,1-2,0-0,1,2025,9
Time of Possession,30:32,29:28,1,2025,9
