Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Kyler Murray,ARI,21,29,163,11,32.4,158,5.4,63,3.0,2.2,100,4.8,0,0.0%,6,20.7%,5,10,3,0,8,21.6%,3,9.3,1,2025,7
Spencer Rattler,NOR,27,46,214,12,25.5,336,7.3,129,4.8,2.8,85,3.1,0,0.0%,5,11.9%,1,9,5,1,7,14.3%,2,10.5,1,2025,7
