Unnamed: 0,TEN,DEN,week,year,game_id
First Downs,7,20,1,2025,11
Rush-Yds-TDs,21-71-0,30-151-1,1,2025,11
Cmp-Att-Yd-TD-INT,12-28-112-0-0,25-40-176-1-2,1,2025,11
Sacked-Yards,6-50,1-10,1,2025,11
Net Pass Yards,62,166,1,2025,11
Total Yards,133,317,1,2025,11
Fumbles-Lost,2-2,2-2,1,2025,11
Turnovers,2,4,1,2025,11
Penalties-Yards,13-131,6-45,1,2025,11
Third Down Conv.,2-14,6-15,1,2025,11
Fourth Down Conv.,0-1,0-2,1,2025,11
Time of Possession,28:04,31:56,1,2025,11
