Quarter,Time,Tm,Detail,TAM,ATL,week,year,game_id
1.0,13:14,Falcons,Bijan Robinson 50 yard pass from Michael Penix (Younghoe Koo kick),0,7,1,2025,3
2.0,10:17,Buccaneers,Chase McLaughlin 48 yard field goal,3,7,1,2025,3
,6:53,Buccaneers,Emeka Egbuka 30 yard pass from Baker Mayfield (Chase McLaughlin kick),10,7,1,2025,3
,0:53,Falcons,Younghoe Koo 41 yard field goal,10,10,1,2025,3
3.0,7:26,Buccaneers,Bucky Irving 9 yard pass from Baker Mayfield (Chase McLaughlin kick),17,10,1,2025,3
,0:20,Falcons,Younghoe Koo 36 yard field goal,17,13,1,2025,3
4.0,2:17,Falcons,Michael Penix 4 yard rush (Younghoe Koo kick),17,20,1,2025,3
,0:59,Buccaneers,Emeka Egbuka 25 yard pass from Baker Mayfield (Chase McLaughlin kick failed),23,20,1,2025,3
