Quarter,Time,Down,ToGo,Location,HOU,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Texans to receive the opening kickoff.",,,1,2025,14
1.0,15:00,,,LAR 35,0.0,0.0,"Joshua Karty kicks off 65 yards, touchback.",0.0,0.28,1,2025,14
1.0,15:00,1.0,10.0,HOU 20,0.0,0.0,"C.J. Stroud pass complete short right to Dalton Schultz for no gain. Penalty on Cam Robinson: Offensive Holding, 10 yards (accepted) (tackle by Kamren Kinchens) (no play)",0.28,-0.76,1,2025,14
1.0,14:36,1.0,20.0,HOU 10,0.0,0.0,Nick Chubb up the middle for 3 yards (tackle by Byron Young),-0.76,-1.28,1,2025,14
1.0,13:57,2.0,17.0,HOU 13,0.0,0.0,C.J. Stroud pass incomplete deep right intended for Nico Collins (defended by Ahkello Witherspoon),-1.28,-2.19,1,2025,14
1.0,13:53,3.0,17.0,HOU 13,0.0,0.0,"Penalty on C.J. Stroud: Delay of Game, 5 yards (accepted) (no play)",-2.19,-2.82,1,2025,14
1.0,13:41,3.0,22.0,HOU 8,0.0,0.0,Dare Ogunbowale up the middle for 7 yards (tackle by Kamren Curl),-2.82,-2.44,1,2025,14
1.0,12:59,4.0,15.0,HOU 15,0.0,0.0,"Tommy Townsend punts 61 yards, returned by Xavier Smith for 5 yards (tackle by Jaylin Smith)",-2.44,-0.87,1,2025,14
1.0,12:49,1.0,10.0,LAR 29,0.0,0.0,Matthew Stafford pass complete short left to Puka Nacua for 4 yards (tackle by C.J. Gardner-Johnson),0.87,0.87,1,2025,14
1.0,12:11,2.0,6.0,LAR 33,0.0,0.0,Kyren Williams up the middle for 4 yards (tackle by Christian Harris),0.87,0.7,1,2025,14
1.0,11:26,3.0,2.0,LAR 37,0.0,0.0,Matthew Stafford pass complete short left to Davante Adams for 3 yards (tackle by Derek Stingley and Henry To'oTo'o),0.7,1.6,1,2025,14
1.0,11:03,1.0,10.0,LAR 40,0.0,0.0,Matthew Stafford pass complete short left to Kyren Williams for 3 yards (tackle by Tim Settle and Kamari Lassiter),1.6,1.46,1,2025,14
1.0,10:39,2.0,7.0,LAR 43,0.0,0.0,Matthew Stafford pass incomplete short right intended for Kyren Williams,1.46,0.76,1,2025,14
1.0,10:33,3.0,7.0,LAR 43,0.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 10 yards (tackle by Calen Bullock),0.76,2.46,1,2025,14
1.0,9:56,1.0,10.0,HOU 47,0.0,0.0,Kyren Williams right end for no gain (tackle by Jaylin Smith and Folorunso Fatukasi),2.46,1.91,1,2025,14
