Quarter,Time,Tm,Detail,PIT,NYJ,week,year,game_id
1.0,9:15,Jets,Nick Folk 35 yard field goal,0,3,1,2025,10
,3:37,Steelers,Ben Skowronek 22 yard pass from Aaron Rodgers (Chris Boswell kick),7,3,1,2025,10
,0:25,Jets,Garrett Wilson 33 yard pass from Justin Fields (run failed),7,9,1,2025,10
2.0,13:26,Steelers,Chris Boswell 56 yard field goal,10,9,1,2025,10
,10:03,Jets,Braelon Allen 8 yard rush (Nick Folk kick),10,16,1,2025,10
,2:54,Jets,Nick Folk 51 yard field goal,10,19,1,2025,10
,0:32,Steelers,Jonnu Smith 3 yard pass from Aaron Rodgers (Chris Boswell kick),17,19,1,2025,10
3.0,3:46,Jets,Justin Fields 2 yard rush (Nick Folk kick),17,26,1,2025,10
4.0,14:57,Steelers,Jaylen Warren 5 yard pass from Aaron Rodgers (Chris Boswell kick),24,26,1,2025,10
,14:07,Steelers,Calvin Austin III 18 yard pass from Aaron Rodgers (Chris Boswell kick),31,26,1,2025,10
,7:01,Jets,Justin Fields 1 yard rush (pass failed),31,32,1,2025,10
,1:03,Steelers,Chris Boswell 60 yard field goal,34,32,1,2025,10
