Quarter,Time,Down,ToGo,Location,PIT,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Jets to receive the opening kickoff.",,,1,2025,10
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 63 yards, returned by Kene Nwangwu for 33 yards (tackle by Malik Harrison)",0.0,1.27,1,2025,10
1.0,14:55,1.0,10.0,NYJ 35,0.0,0.0,Breece Hall left guard for 18 yards (tackle by Jalen Ramsey),1.27,2.46,1,2025,10
1.0,14:16,1.0,10.0,PIT 47,0.0,0.0,Breece Hall left tackle for 7 yards (tackle by Juan Thornhill),2.46,2.86,1,2025,10
1.0,13:40,2.0,3.0,PIT 40,0.0,0.0,Braelon Allen left guard for 2 yards (tackle by Alex Highsmith),2.86,2.41,1,2025,10
1.0,13:03,3.0,1.0,PIT 38,0.0,0.0,Justin Fields up the middle for 5 yards (tackle by Patrick Queen),2.41,3.38,1,2025,10
1.0,12:24,1.0,10.0,PIT 33,0.0,0.0,Justin Fields pass complete short left to Garrett Wilson for 8 yards (tackle by DeShon Elliott),3.38,3.92,1,2025,10
1.0,11:51,2.0,2.0,PIT 25,0.0,0.0,Breece Hall right guard for 6 yards (tackle by Payton Wilson and Patrick Queen),3.92,4.31,1,2025,10
1.0,11:08,1.0,10.0,PIT 19,0.0,0.0,Braelon Allen right guard for 1 yard (tackle by Alex Highsmith and T.J. Watt),4.31,3.88,1,2025,10
1.0,10:36,2.0,9.0,PIT 18,0.0,0.0,Braelon Allen left end for -2 yards (tackle by T.J. Watt),3.88,2.94,1,2025,10
1.0,9:57,3.0,11.0,PIT 20,0.0,0.0,Isaiah Davis up the middle for 3 yards (tackle by Patrick Queen),2.94,2.31,1,2025,10
1.0,9:19,4.0,8.0,PIT 17,0.0,3.0,Nick Folk 35 yard field goal good,2.31,3.0,1,2025,10
1.0,9:15,,,NYJ 35,0.0,3.0,"Nick Folk kicks off 65 yards, returned by Kaleb Johnson for 29 yards (tackle by Cam Jones and Marcelino McCrary-Ball)",0.0,0.87,1,2025,10
1.0,9:09,1.0,10.0,PIT 29,0.0,3.0,Aaron Rodgers sacked by Quinnen Williams for 4 yards,0.87,-0.21,1,2025,10
1.0,8:26,2.0,14.0,PIT 25,0.0,3.0,Kenneth Gainwell right guard for 4 yards (tackle by Harrison Phillips),-0.21,-0.36,1,2025,10
1.0,7:41,3.0,10.0,PIT 29,0.0,3.0,Aaron Rodgers pass complete short left to Pat Freiermuth for 11 yards (tackle by Jamien Sherwood),-0.36,1.6,1,2025,10
1.0,7:08,1.0,10.0,PIT 40,0.0,3.0,Jaylen Warren left tackle for no gain (tackle by Jowon Briggs and Jermaine Johnson),1.6,1.05,1,2025,10
1.0,6:26,2.0,10.0,PIT 40,0.0,3.0,Aaron Rodgers pass incomplete short middle intended for D.K. Metcalf,1.05,0.37,1,2025,10
1.0,6:22,3.0,10.0,PIT 40,0.0,3.0,Aaron Rodgers pass complete short right to D.K. Metcalf for 23 yards (tackle by Andre Cisco),0.37,3.12,1,2025,10
1.0,5:40,1.0,10.0,NYJ 37,0.0,3.0,Aaron Rodgers pass complete short right to Jonnu Smith for 6 yards (tackle by Quincy Williams),3.12,3.38,1,2025,10
1.0,5:04,2.0,4.0,NYJ 31,0.0,3.0,Kenneth Gainwell left guard for 6 yards (tackle by Francisco Mauigoa and Will McDonald),3.38,3.91,1,2025,10
1.0,4:21,1.0,10.0,NYJ 25,0.0,3.0,Kenneth Gainwell left guard for 3 yards (tackle by Harrison Phillips),3.91,3.77,1,2025,10
1.0,3:44,2.0,7.0,NYJ 22,6.0,3.0,"Aaron Rodgers pass complete short right to Ben Skowronek for 22 yards, touchdown",3.77,7.0,1,2025,10
1.0,3:38,,,NYJ 15,7.0,3.0,Chris Boswell kicks extra point good,0.0,0.0,1,2025,10
1.0,3:38,,,PIT 35,7.0,3.0,"Chris Boswell kicks off 60 yards, returned by Xavier Gipson for 40 yards (tackle by Juan Thornhill)",0.0,1.93,1,2025,10
1.0,3:32,1.0,10.0,NYJ 45,7.0,3.0,Justin Fields scrambles left end for 2 yards (tackle by DeShon Elliott),1.93,1.65,1,2025,10
1.0,2:56,2.0,8.0,NYJ 47,7.0,3.0,Justin Fields pass complete short left to Garrett Wilson for 8 yards (tackle by Darius Slay),1.65,2.59,1,2025,10
1.0,2:22,1.0,10.0,PIT 45,7.0,3.0,Breece Hall left end for 3 yards (tackle by DeShon Elliott),2.59,2.45,1,2025,10
1.0,1:36,2.0,7.0,PIT 42,7.0,3.0,Justin Fields pass complete short left to Breece Hall for 5 yards (tackle by Patrick Queen),2.45,2.41,1,2025,10
1.0,1:10,3.0,2.0,PIT 37,7.0,3.0,Breece Hall left guard for 4 yards (tackle by Darius Slay),2.41,3.38,1,2025,10
1.0,0:31,1.0,10.0,PIT 33,7.0,9.0,"Justin Fields pass complete deep right to Garrett Wilson for 33 yards, touchdown",3.38,7.0,1,2025,10
1.0,0:25,,,PIT 15,7.0,9.0,Nick Folk kicks extra point no good (no play),0.0,1.0,1,2025,10
1.0,0:25,,,PIT 1,7.0,9.0,"Two Point Attempt: Braelon Allen rushes, conversion fails.",1.0,-1.0,1,2025,10
1.0,0:25,,,NYJ 35,7.0,9.0,"Nick Folk kicks off 60 yards, returned by Kaleb Johnson for 23 yards. Kaleb Johnson fumbles (forced by Marcelino McCrary-Ball), recovered by Juan Thornhill at PIT-28",0.0,0.81,1,2025,10
1.0,0:17,1.0,10.0,PIT 28,7.0,9.0,Aaron Rodgers pass complete short left to D.K. Metcalf for 31 yards (tackle by Andre Cisco),0.81,2.85,1,2025,10
2.0,15:00,1.0,10.0,NYJ 41,7.0,9.0,Aaron Rodgers pass incomplete short right,2.85,2.31,1,2025,10
2.0,14:54,2.0,10.0,NYJ 41,7.0,9.0,Kenneth Gainwell right end for -1 yards (tackle by Michael Carter),2.31,1.49,1,2025,10
2.0,14:08,3.0,11.0,NYJ 42,7.0,9.0,Aaron Rodgers pass complete short left to Jonnu Smith for 5 yards (tackle by Jay Tufele),1.49,0.79,1,2025,10
2.0,13:30,4.0,6.0,NYJ 37,10.0,9.0,Chris Boswell 56 yard field goal good,0.79,3.0,1,2025,10
2.0,13:26,,,PIT 35,10.0,9.0,"Chris Boswell kicks off 58 yards, returned by Xavier Gipson for 25 yards (tackle by Ben Skowronek)",0.0,1.07,1,2025,10
2.0,13:21,1.0,10.0,NYJ 32,10.0,9.0,Justin Fields right end for 6 yards (tackle by DeShon Elliott),1.07,1.34,1,2025,10
2.0,12:44,2.0,4.0,NYJ 38,10.0,9.0,Justin Fields pass incomplete short right intended for Breece Hall (defended by T.J. Watt),1.34,0.63,1,2025,10
2.0,12:40,3.0,4.0,NYJ 38,10.0,9.0,Justin Fields pass complete short middle to Jeremy Ruckert for 4 yards (tackle by Patrick Queen),0.63,1.73,1,2025,10
2.0,12:03,1.0,10.0,NYJ 42,10.0,9.0,Justin Fields pass complete short right to Breece Hall for 33 yards (tackle by Juan Thornhill),1.73,3.91,1,2025,10
2.0,11:24,1.0,10.0,PIT 25,10.0,9.0,Breece Hall up the middle for 2 yards (tackle by T.J. Watt and Yahya Black),3.91,3.63,1,2025,10
2.0,10:50,2.0,8.0,PIT 23,10.0,9.0,Justin Fields right end for 15 yards (tackle by DeShon Elliott),3.63,5.37,1,2025,10
2.0,10:09,1.0,8.0,PIT 8,10.0,15.0,"Braelon Allen up the middle for 8 yards, touchdown",5.37,7.0,1,2025,10
2.0,10:03,,,PIT 15,10.0,16.0,Nick Folk kicks extra point good,0.0,0.0,1,2025,10
2.0,10:03,,,NYJ 35,10.0,16.0,"Nick Folk kicks off 60 yards, returned by Kaleb Johnson for 23 yards (tackle by Cam Jones and Isaiah Davis)",0.0,0.81,1,2025,10
2.0,9:57,1.0,10.0,PIT 28,10.0,16.0,Jaylen Warren left end for 2 yards (tackle by Michael Carter),0.81,0.53,1,2025,10
2.0,9:14,2.0,8.0,PIT 30,10.0,16.0,Aaron Rodgers pass complete short left to Kenneth Gainwell for 4 yards (tackle by Quincy Williams),0.53,0.37,1,2025,10
2.0,8:32,3.0,4.0,PIT 34,10.0,16.0,Aaron Rodgers sacked by Will McDonald for 4 yards,0.37,-1.37,1,2025,10
2.0,7:55,4.0,8.0,PIT 30,10.0,16.0,"Corliss Waitman punts 44 yards, fair catch by Xavier Gipson at NYJ-26",-1.37,-0.67,1,2025,10
2.0,7:47,1.0,10.0,NYJ 26,10.0,16.0,Justin Fields pass complete short right to Garrett Wilson for 11 yards (tackle by Joey Porter),0.67,1.4,1,2025,10
2.0,7:11,1.0,10.0,NYJ 37,10.0,16.0,Breece Hall left guard for 3 yards (tackle by Keeanu Benton),1.4,1.26,1,2025,10
2.0,6:27,2.0,7.0,NYJ 40,10.0,16.0,Breece Hall left tackle for -2 yards (tackle by Cameron Heyward and DeShon Elliott),1.26,0.3,1,2025,10
2.0,5:59,3.0,9.0,NYJ 38,10.0,16.0,Justin Fields pass complete deep middle to Tyler Johnson for 24 yards (tackle by Alex Highsmith),0.3,3.05,1,2025,10
2.0,5:06,1.0,10.0,PIT 38,10.0,16.0,"Penalty on Justin Fields: Delay of Game, 5 yards (accepted) (no play)",3.05,2.72,1,2025,10
2.0,4:57,1.0,15.0,PIT 43,10.0,16.0,Justin Fields left tackle for 6 yards (tackle by Chuck Clark),2.72,2.64,1,2025,10
2.0,4:14,2.0,9.0,PIT 37,10.0,16.0,Breece Hall left guard for 8 yards (tackle by Jalen Ramsey),2.64,3.01,1,2025,10
2.0,3:35,3.0,1.0,PIT 29,10.0,16.0,Justin Fields left end for -4 yards (tackle by Payton Wilson),3.01,1.17,1,2025,10
2.0,2:59,,,,,,Timeout #1 by Pittsburgh Steelers,,,1,2025,10
2.0,2:59,4.0,5.0,PIT 33,10.0,19.0,Nick Folk 51 yard field goal good,1.17,3.0,1,2025,10
2.0,2:54,,,NYJ 35,10.0,19.0,"Nick Folk kicks off 65 yards, touchback.",0.0,1.27,1,2025,10
2.0,2:54,1.0,10.0,PIT 35,10.0,19.0,Aaron Rodgers pass incomplete short left intended for D.K. Metcalf (defended by Sauce Gardner),1.27,0.72,1,2025,10
2.0,2:50,2.0,10.0,PIT 35,10.0,19.0,Aaron Rodgers pass complete short right to Calvin Austin for 30 yards (tackle by Tony Adams),0.72,3.25,1,2025,10
