Quarter,Time,Tm,Detail,DAL,PHI,week,year,game_id
1.0,11:49,Cowboys,Javonte Williams 1 yard rush (Brandon Aubrey kick),7,0,1,2025,1
,5:55,Eagles,Jalen Hurts 4 yard rush (Jake Elliott kick),7,7,1,2025,1
2.0,14:56,Cowboys,Javonte Williams 1 yard rush (Brandon Aubrey kick),14,7,1,2025,1
,6:46,Eagles,Jalen Hurts 8 yard rush (Jake Elliott kick),14,14,1,2025,1
,2:34,Cowboys,Brandon Aubrey 41 yard field goal,17,14,1,2025,1
,0:51,Eagles,Saquon Barkley 10 yard rush (Jake Elliott kick),17,21,1,2025,1
,0:00,Cowboys,Brandon Aubrey 53 yard field goal,20,21,1,2025,1
3.0,8:30,Eagles,Jake Elliott 58 yard field goal,20,24,1,2025,1
