Quarter,Time,Tm,Detail,CIN,CLE,week,year,game_id
1.0,7:32,Bengals,Chase Brown 5 yard rush (Evan McPherson kick),7,0,1,2025,5
2.0,12:42,Browns,Raheim Sanders 1 yard rush (Andre Szmyt kick),7,7,1,2025,5
,4:18,Bengals,Noah Fant 1 yard pass from Joe Burrow (Evan McPherson kick),14,7,1,2025,5
,0:23,Browns,Andre Szmyt 45 yard field goal,14,10,1,2025,5
3.0,7:20,Browns,Cedric Tillman 5 yard pass from Joe Flacco (Andre Szmyt kick failed),14,16,1,2025,5
,2:48,Bengals,Evan McPherson 35 yard field goal,17,16,1,2025,5
