Unnamed: 0,HOU,LAR,week,year,game_id
First Downs,18,18,1,2025,14
Rush-Yds-TDs,27-114-0,25-72-1,1,2025,14
Cmp-Att-Yd-TD-INT,19-27-188-0-1,21-29-245-1-0,1,2025,14
Sacked-Yards,3-37,3-21,1,2025,14
Net Pass Yards,151,224,1,2025,14
Total Yards,265,296,1,2025,14
Fumbles-Lost,1-1,2-1,1,2025,14
Turnovers,2,1,1,2025,14
Penalties-Yards,11-80,7-60,1,2025,14
Third Down Conv.,2-9,7-13,1,2025,14
Fourth Down Conv.,1-1,1-1,1,2025,14
Time of Possession,31:25,28:35,1,2025,14
