Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Bryce Young,CAR,0,0,0,0,0,1,2025,4
Chuba Hubbard,CAR,5,3,32,1,27,1,2025,4
Rico Dowdle,CAR,3,2,4,0,3,1,2025,4
Trevor Etienne,CAR,0,0,0,0,0,1,2025,4
Tetairoa McMillan,CAR,9,5,68,0,21,1,2025,4
Ja'Tavion Sanders,CAR,3,2,27,0,18,1,2025,4
Hunter Renfrow,CAR,6,2,11,0,6,1,2025,4
Xavier Legette,CAR,7,3,10,0,9,1,2025,4
Tommy Tremble,CAR,1,1,2,0,2,1,2025,4
Trevor Lawrence,JAX,0,0,0,0,0,1,2025,4
Travis Etienne,JAX,3,3,13,0,7,1,2025,4
Tank Bigsby,JAX,0,0,0,0,0,1,2025,4
Bhayshul Tuten,JAX,0,0,0,0,0,1,2025,4
Brian Thomas,JAX,7,1,11,0,11,1,2025,4
LeQuint Allen,JAX,1,1,4,0,4,1,2025,4
Dyami Brown,JAX,4,3,52,0,23,1,2025,4
Brenton Strange,JAX,4,4,59,0,24,1,2025,4
Travis Hunter,JAX,8,6,33,0,10,1,2025,4
Hunter Long,JAX,1,1,6,1,6,1,2025,4
Johnny Mundt,JAX,1,0,0,0,0,1,2025,4
