Unnamed: 0,SFO,SEA,week,year,game_id
First Downs,24,14,1,2025,12
Rush-Yds-TDs,36-119-0,26-84-1,1,2025,12
Cmp-Att-Yd-TD-INT,26-35-277-2-2,16-23-150-0-0,1,2025,12
Sacked-Yards,1-12,1-4,1,2025,12
Net Pass Yards,265,146,1,2025,12
Total Yards,384,230,1,2025,12
Fumbles-Lost,1-0,3-2,1,2025,12
Turnovers,2,2,1,2025,12
Penalties-Yards,9-61,4-30,1,2025,12
Third Down Conv.,7-14,3-10,1,2025,12
Fourth Down Conv.,2-2,0-0,1,2025,12
Time of Possession,37:58,22:02,1,2025,12
