Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Commanders to receive the opening kickoff.",,,1,2025,9
1.0,15:00,,,NYG 35,0.0,0.0,"Jamie Gillan kicks off 66 yards, returned by Deebo Samuel for 21 yards (tackle by Micah McFadden)",0.0,0.28,1,2025,9
1.0,14:55,1.0,10.0,WAS 20,0.0,0.0,Jayden Daniels pass complete short left to Austin Ekeler for 4 yards (tackle by Paulson Adebo),0.28,0.27,1,2025,9
1.0,14:30,2.0,6.0,WAS 24,0.0,0.0,Jayden Daniels left end for 5 yards (tackle by Brian Burns and Tyler Nubin),0.27,0.23,1,2025,9
1.0,13:52,3.0,1.0,WAS 29,0.0,0.0,Jayden Daniels scrambles right end for 7 yards (tackle by Tyler Nubin and Bobby Okereke),0.23,1.33,1,2025,9
1.0,13:17,1.0,10.0,WAS 36,0.0,0.0,Austin Ekeler right tackle for 5 yards (tackle by Bobby Okereke and Roy Robertson-Harris),1.33,1.47,1,2025,9
1.0,12:53,2.0,5.0,WAS 41,0.0,0.0,Jayden Daniels pass incomplete short right intended for Deebo Samuel (defended by Cordale Flott),1.47,0.76,1,2025,9
1.0,12:48,3.0,5.0,WAS 41,0.0,0.0,"Penalty on Zach Ertz: False Start, 5 yards (accepted) (no play)",0.76,0.1,1,2025,9
1.0,12:48,3.0,10.0,WAS 36,0.0,0.0,Jayden Daniels pass incomplete short middle intended for Zach Ertz,0.1,-0.98,1,2025,9
1.0,12:42,4.0,10.0,WAS 36,0.0,0.0,"Tress Way punts 52 yards, returned by Gunner Olszewski for 11 yards (tackle by Percy Butler)",-0.98,-0.48,1,2025,9
1.0,12:31,1.0,10.0,NYG 23,0.0,0.0,Tyrone Tracy up the middle for -1 yards (tackle by Javon Kinlaw),0.48,-0.2,1,2025,9
1.0,11:54,2.0,11.0,NYG 22,0.0,0.0,Russell Wilson pass incomplete deep right intended for Malik Nabers,-0.2,-0.89,1,2025,9
1.0,11:48,3.0,11.0,NYG 22,0.0,0.0,Russell Wilson pass complete short right to Wan'Dale Robinson for 4 yards (tackle by Daron Payne),-0.89,-1.63,1,2025,9
1.0,11:14,4.0,7.0,NYG 26,0.0,0.0,"Jamie Gillan punts 53 yards, returned by Jaylin Lane for no gain. Penalty on Jonathan Jones: Offensive Holding, 10 yards (accepted) (tackle by Dane Belton)",-1.63,0.37,1,2025,9
1.0,11:02,1.0,10.0,WAS 11,0.0,0.0,Austin Ekeler left guard for 6 yards (tackle by Jevon Holland and Rakeem Nunez-Roches),-0.37,-0.16,1,2025,9
1.0,10:42,2.0,4.0,WAS 17,0.0,0.0,Jayden Daniels pass complete deep right to Chris Moore for 34 yards,-0.16,2.32,1,2025,9
1.0,10:12,1.0,10.0,NYG 49,0.0,0.0,Jayden Daniels pass complete short left to Deebo Samuel for 8 yards (tackle by Paulson Adebo),2.32,2.86,1,2025,9
1.0,9:33,2.0,2.0,NYG 41,0.0,0.0,Jayden Daniels pass complete deep right to Noah Brown for 18 yards (tackle by Cordale Flott and Tyler Nubin),2.86,4.04,1,2025,9
1.0,8:57,1.0,10.0,NYG 23,0.0,0.0,Jayden Daniels left end for 8 yards (tackle by Micah McFadden and Jevon Holland),4.04,4.75,1,2025,9
1.0,8:17,2.0,2.0,NYG 15,0.0,0.0,Austin Ekeler left tackle for 3 yards (tackle by Micah McFadden),4.75,4.78,1,2025,9
1.0,7:46,1.0,10.0,NYG 12,0.0,0.0,Austin Ekeler up the middle for 5 yards (tackle by Dexter Lawrence and Jevon Holland),4.78,5.02,1,2025,9
1.0,7:03,2.0,5.0,NYG 7,0.0,6.0,"Jayden Daniels pass complete short left to Zach Ertz for 7 yards, touchdown",5.02,7.0,1,2025,9
1.0,7:00,,,NYG 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,1,2025,9
1.0,7:00,,,WAS 35,0.0,7.0,"Matt Gay kicks off 63 yards, returned by Wan'Dale Robinson for 20 yards (tackle by Nick Bellore)",0.0,0.41,1,2025,9
1.0,6:55,1.0,10.0,NYG 22,0.0,7.0,Russell Wilson pass incomplete short left intended for Malik Nabers,0.41,-0.13,1,2025,9
1.0,6:52,2.0,10.0,NYG 22,0.0,7.0,Tyrone Tracy left guard for 6 yards (tackle by Daron Payne and Frankie Luvu),-0.13,-0.03,1,2025,9
1.0,6:08,3.0,4.0,NYG 28,0.0,7.0,Russell Wilson pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Trey Amos),-0.03,1.14,1,2025,9
1.0,5:31,1.0,10.0,NYG 33,0.0,7.0,Tyrone Tracy right tackle for 6 yards (tackle by Quan Martin and Bobby Wagner),1.14,1.4,1,2025,9
1.0,4:52,2.0,4.0,NYG 39,0.0,7.0,Russell Wilson pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Will Harris),1.4,1.99,1,2025,9
1.0,4:07,1.0,10.0,NYG 46,0.0,7.0,Russell Wilson pass complete short right to Malik Nabers for 25 yards (tackle by Quan Martin),1.99,3.64,1,2025,9
1.0,3:20,1.0,10.0,WAS 29,0.0,7.0,Russell Wilson pass complete short right to Cam Skattebo for 6 yards (tackle by Will Harris),3.64,3.91,1,2025,9
1.0,2:39,2.0,4.0,WAS 23,0.0,7.0,Cam Skattebo up the middle for -2 yards (tackle by Eddie Goldman),3.91,2.94,1,2025,9
1.0,1:56,3.0,6.0,WAS 25,0.0,7.0,"Russell Wilson pass complete short left to Wan'Dale Robinson for 8 yards. Penalty on Marshon Lattimore: Unnecessary Roughness / Defense, 9 yards (accepted) (tackle by Marshon Lattimore and Frankie Luvu)",2.94,5.37,1,2025,9
1.0,1:32,1.0,8.0,WAS 8,0.0,7.0,Russell Wilson pass complete short right to Malik Nabers for -2 yards (tackle by Deatrich Wise),5.37,4.19,1,2025,9
1.0,0:43,,,,,,Timeout #1 by Washington Commanders,,,1,2025,9
1.0,0:43,2.0,10.0,WAS 10,0.0,7.0,Russell Wilson pass incomplete short right intended for Theo Johnson,4.19,3.13,1,2025,9
1.0,0:39,3.0,10.0,WAS 10,0.0,7.0,"Russell Wilson scrambles right end for 8 yards. Russell Wilson fumbles (forced by Will Harris), recovered by Russell Wilson at WAS-2",3.13,3.25,1,2025,9
2.0,15:00,4.0,2.0,WAS 2,0.0,7.0,"Russell Wilson pass incomplete short right intended for Malik Nabers. Penalty on Deatrich Wise: Illegal Use of Hands / Defense, 1 yard (accepted) (no play)",3.25,6.97,1,2025,9
2.0,14:54,1.0,1.0,WAS 1,0.0,7.0,Russell Wilson pass incomplete short left,6.97,5.91,1,2025,9
2.0,14:48,2.0,1.0,WAS 1,0.0,7.0,Cam Skattebo up the middle for -1 yards (tackle by Bobby Wagner and Deatrich Wise),5.91,4.95,1,2025,9
2.0,14:07,3.0,2.0,WAS 2,0.0,7.0,Russell Wilson pass incomplete short middle,4.95,3.25,1,2025,9
2.0,14:00,4.0,2.0,WAS 2,3.0,7.0,Graham Gano 21 yard field goal good,3.25,3.0,1,2025,9
2.0,13:57,,,NYG 35,3.0,7.0,"Graham Gano kicks off 64 yards, returned by Deebo Samuel for 29 yards (tackle by Dane Belton)",0.0,0.94,1,2025,9
2.0,13:34,1.0,10.0,WAS 30,3.0,7.0,Jacory Croskey-Merritt right end for 1 yard (tackle by Bobby Okereke),0.94,0.53,1,2025,9
2.0,13:28,2.0,9.0,WAS 31,3.0,7.0,Jayden Daniels pass incomplete deep right intended for Deebo Samuel,0.53,-0.16,1,2025,9
2.0,13:23,3.0,9.0,WAS 31,3.0,7.0,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,-0.16,-1.31,1,2025,9
2.0,13:11,4.0,9.0,WAS 31,3.0,7.0,"Tress Way punts 64 yards, returned by Gunner Olszewski for 10 yards (tackle by Nick Bellore and Percy Butler)",-1.31,0.22,1,2025,9
2.0,13:07,1.0,10.0,NYG 15,3.0,7.0,Devin Singletary right guard for 1 yard (tackle by Von Miller),-0.22,-0.58,1,2025,9
2.0,12:34,2.0,9.0,NYG 16,3.0,7.0,Devin Singletary left tackle for 8 yards (tackle by Will Harris and Quan Martin),-0.58,-0.27,1,2025,9
2.0,11:51,3.0,1.0,NYG 24,3.0,7.0,Russell Wilson pass incomplete short right intended for Wan'Dale Robinson,-0.27,-1.77,1,2025,9
2.0,11:48,4.0,1.0,NYG 24,3.0,7.0,"Jamie Gillan punts 34 yards, fair catch by Jaylin Lane at WAS-42",-1.77,-1.73,1,2025,9
2.0,11:40,1.0,10.0,WAS 42,3.0,7.0,Jacory Croskey-Merritt left end for 11 yards (tackle by Brian Burns and Bobby Okereke),1.73,2.46,1,2025,9
2.0,11:07,1.0,10.0,NYG 47,3.0,7.0,Jayden Daniels sacked by Brian Burns for 6 yards,2.46,1.1,1,2025,9
2.0,10:26,2.0,16.0,WAS 47,3.0,7.0,Jayden Daniels pass complete short middle to Deebo Samuel for 16 yards (tackle by Bobby Okereke),1.1,3.12,1,2025,9
2.0,9:42,1.0,10.0,NYG 37,3.0,7.0,"Deebo Samuel right end for no gain. Penalty on Rakeem Nunez-Roches: Defensive Holding, 5 yards (accepted) (tackle by Bobby Okereke) (no play)",3.12,3.45,1,2025,9
2.0,9:21,1.0,10.0,NYG 32,3.0,7.0,"Jayden Daniels pass complete short right to Noah Brown for no gain. Penalty on Noah Brown: Offensive Offside, 5 yards (accepted) (tackle by Darius Muasau) (no play)",3.45,3.12,1,2025,9
2.0,8:54,1.0,15.0,NYG 37,3.0,7.0,Jayden Daniels sacked by Brian Burns for 4 yards,3.12,1.69,1,2025,9
2.0,8:12,2.0,19.0,NYG 41,3.0,7.0,Jayden Daniels pass complete short left to Terry McLaurin for 13 yards (tackle by Paulson Adebo),1.69,2.74,1,2025,9
2.0,7:29,3.0,6.0,NYG 28,3.0,7.0,"Jayden Daniels scrambles right end for 11 yards. Penalty on Jevon Holland: Defensive Holding, 5 yards (accepted) (tackle by Jevon Holland)",2.74,4.78,1,2025,9
2.0,7:07,1.0,10.0,NYG 12,3.0,7.0,Jacory Croskey-Merritt right guard for 6 yards (tackle by Dexter Lawrence and Roy Robertson-Harris),4.78,5.21,1,2025,9
2.0,6:19,2.0,4.0,NYG 6,3.0,13.0,"Jacory Croskey-Merritt right end for 6 yards, touchdown",5.21,7.0,1,2025,9
2.0,6:14,,,NYG 15,3.0,14.0,Matt Gay kicks extra point good,0.0,0.0,1,2025,9
2.0,6:14,,,WAS 35,3.0,14.0,"Matt Gay kicks off 65 yards, returned by Wan'Dale Robinson for 21 yards (tackle by Percy Butler and Colson Yankoff)",0.0,0.34,1,2025,9
2.0,6:09,1.0,10.0,NYG 21,3.0,14.0,Russell Wilson pass incomplete short left intended for Malik Nabers,0.34,-0.2,1,2025,9
2.0,6:04,2.0,10.0,NYG 21,3.0,14.0,Russell Wilson pass complete short left to Theo Johnson for 5 yards (tackle by Dorance Armstrong),-0.2,-0.23,1,2025,9
2.0,5:20,3.0,5.0,NYG 26,3.0,14.0,"Russell Wilson pass incomplete deep left intended for Wan'Dale Robinson. Penalty on Von Miller: Defensive Offside, 4 yards (accepted) (no play)",-0.23,0.3,1,2025,9
2.0,5:14,,,,,,Timeout #2 by Washington Commanders,,,1,2025,9
2.0,5:14,3.0,1.0,NYG 30,3.0,14.0,Russell Wilson right tackle for 2 yards (tackle by Bobby Wagner),0.3,1.07,1,2025,9
2.0,4:35,1.0,10.0,NYG 32,3.0,14.0,Tyrone Tracy up the middle for 3 yards (tackle by Frankie Luvu and Bobby Wagner),1.07,0.93,1,2025,9
2.0,4:00,2.0,7.0,NYG 35,3.0,14.0,Tyrone Tracy left tackle for no gain (tackle by Jacob Martin and Daron Payne),0.93,0.23,1,2025,9
2.0,3:13,3.0,7.0,NYG 35,3.0,14.0,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",0.23,-0.43,1,2025,9
2.0,2:56,3.0,12.0,NYG 30,3.0,14.0,Russell Wilson sacked by Daron Payne for 9 yards,-0.43,-1.96,1,2025,9
2.0,2:15,4.0,21.0,NYG 21,3.0,14.0,"Jamie Gillan punts 38 yards, returned by Jaylin Lane for no gain (tackle by Nic Jones)",-1.96,-1.66,1,2025,9
2.0,2:00,1.0,10.0,WAS 41,3.0,14.0,Jayden Daniels pass incomplete deep right intended for Jaylin Lane,1.66,1.12,1,2025,9
2.0,1:55,2.0,10.0,WAS 41,3.0,14.0,Jayden Daniels pass complete short middle to Jaylin Lane for 11 yards (tackle by Andru Phillips),1.12,2.39,1,2025,9
2.0,1:34,1.0,10.0,NYG 48,3.0,14.0,"Jayden Daniels sacked by and Kayvon Thibodeaux for 11 yards and Abdul Carter for 11 yards. Penalty on Laremy Tunsil: Offensive Holding, 10 yards (declined)",2.39,0.43,1,2025,9
2.0,1:29,2.0,20.0,WAS 41,3.0,14.0,Jayden Daniels pass complete short right to Deebo Samuel for 9 yards (tackle by Dane Belton and Bobby Okereke),0.43,0.96,1,2025,9
2.0,1:13,,,,,,Timeout #1 by New York Giants,,,1,2025,9
2.0,1:13,3.0,11.0,NYG 50,3.0,14.0,Jayden Daniels pass complete deep right to Deebo Samuel for 21 yards (tackle by Andru Phillips),0.96,3.64,1,2025,9
2.0,0:54,1.0,10.0,NYG 29,3.0,14.0,Austin Ekeler left guard for 4 yards (tackle by Brian Burns and Dexter Lawrence),3.64,3.64,1,2025,9
2.0,0:37,2.0,6.0,NYG 25,3.0,14.0,Jayden Daniels pass complete short middle to Austin Ekeler for 12 yards (tackle by Bobby Okereke and Dane Belton),3.64,4.71,1,2025,9
2.0,0:28,,,,,,Timeout #3 by Washington Commanders,,,1,2025,9
2.0,0:28,1.0,10.0,NYG 13,3.0,14.0,Jayden Daniels pass incomplete short middle intended for Noah Brown,4.71,4.05,1,2025,9
2.0,0:23,,,,,,Timeout #2 by New York Giants,,,1,2025,9
2.0,0:23,2.0,10.0,NYG 13,3.0,14.0,Jayden Daniels scrambles up the middle for 9 yards (tackle by Abdul Carter),4.05,5.01,1,2025,9
2.0,0:03,3.0,1.0,NYG 4,3.0,14.0,"Jayden Daniels pass incomplete short left. Penalty on Jayden Daniels: Intentional Grounding, 10 yards (accepted)",5.01,3.04,1,2025,9
3.0,15:00,,,WAS 35,3.0,14.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.28,1,2025,9
3.0,15:00,1.0,10.0,NYG 20,3.0,14.0,Russell Wilson pass complete short left to Malik Nabers for 11 yards (tackle by Marshon Lattimore),0.28,1.0,1,2025,9
3.0,14:29,1.0,10.0,NYG 31,3.0,14.0,Tyrone Tracy right end for 6 yards (tackle by Frankie Luvu),1.0,1.27,1,2025,9
