Quarter,Time,Tm,Detail,CAR,JAX,week,year,game_id
1.0,8:15,Jaguars,Cam Little 35 yard field goal,0,3,1,2025,4
,0:36,Panthers,Ryan Fitzgerald 48 yard field goal,3,3,1,2025,4
2.0,8:32,Jaguars,Hunter Long 6 yard pass from Trevor Lawrence (Cam Little kick),3,10,1,2025,4
,1:49,Jaguars,Brian Thomas 9 yard rush (Cam Little kick),3,17,1,2025,4
,0:01,Jaguars,Cam Little 47 yard field goal,3,20,1,2025,4
4.0,7:09,Jaguars,Cam Little 36 yard field goal,3,23,1,2025,4
,4:47,Panthers,Chuba Hubbard 27 yard pass from Bryce Young (Ryan Fitzgerald kick),10,23,1,2025,4
,1:57,Jaguars,Cam Little 28 yard field goal,10,26,1,2025,4
