Unnamed: 0,MIN,CHI,week,year,game_id
First Downs,14,20,1,2025,16
Rush-Yds-TDs,26-120-1,26-119-1,1,2025,16
Cmp-Att-Yd-TD-INT,13-20-143-2-1,21-35-210-1-0,1,2025,16
Sacked-Yards,3-9,2-12,1,2025,16
Net Pass Yards,134,198,1,2025,16
Total Yards,254,317,1,2025,16
Fumbles-Lost,0-0,1-1,1,2025,16
Turnovers,1,1,1,2025,16
Penalties-Yards,8-50,12-127,1,2025,16
Third Down Conv.,3-12,3-12,1,2025,16
Fourth Down Conv.,0-0,0-1,1,2025,16
Time of Possession,27:07,32:53,1,2025,16
