Unnamed: 0,ARI,NOR,week,year,game_id
First Downs,19,21,1,2025,7
Rush-Yds-TDs,27-146-0,22-107-1,1,2025,7
Cmp-Att-Yd-TD-INT,21-29-163-2-0,27-46-214-0-0,1,2025,7
Sacked-Yards,5-33,1-6,1,2025,7
Net Pass Yards,130,208,1,2025,7
Total Yards,276,315,1,2025,7
Fumbles-Lost,0-0,0-0,1,2025,7
Turnovers,0,0,1,2025,7
Penalties-Yards,9-54,13-89,1,2025,7
Third Down Conv.,6-13,5-14,1,2025,7
Fourth Down Conv.,0-0,1-2,1,2025,7
Time of Possession,33:46,26:14,1,2025,7
