Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Bailey Zappe,NWE,0,0,0,0,0,14.0,2023,194
Ezekiel Elliott,NWE,8,7,72,1,16,14.0,2023,194
JuJu Smith-Schuster,NWE,6,4,90,0,37,14.0,2023,194
Hunter Henry,NWE,3,3,40,2,24,14.0,2023,194
Tyquan Thornton,NWE,5,3,17,0,11,14.0,2023,194
Ty Montgomery,NWE,2,1,17,0,17,14.0,2023,194
Pharaoh Brown,NWE,1,1,4,0,4,14.0,2023,194
Jalen Reagor,NWE,1,0,0,0,0,14.0,2023,194
Mitchell Trubisky,PIT,0,0,0,0,0,14.0,2023,194
Connor Heyward,PIT,2,2,15,0,10,14.0,2023,194
Najee Harris,PIT,3,3,19,0,14,14.0,2023,194
Calvin Austin III,PIT,0,0,0,0,0,14.0,2023,194
Jaylen Warren,PIT,5,4,29,0,12,14.0,2023,194
Diontae Johnson,PIT,7,3,57,1,25,14.0,2023,194
Allen Robinson,PIT,3,1,21,0,21,14.0,2023,194
George Pickens,PIT,6,5,19,0,7,14.0,2023,194
Pat Freiermuth,PIT,7,3,18,0,7,14.0,2023,194
Darnell Washington,PIT,2,1,12,0,12,14.0,2023,194
