Tm,G,Rushing Att,Rushing Yds,Rushing TD,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Fantasy FantPt,Fantasy DKPt,Fantasy FDPt,Fantasy per Game FantPt,Fantasy per Game DKPt,Fantasy per Game FDPt
Arizona Cardinals,17,439,2027,14,92,80,556,8,386.98,493.0,427.0,22.8,29.0,25.1
Seattle Seahawks,17,408,1815,19,106,81,615,2,371.48,471.5,412.0,21.9,27.7,24.2
Denver Broncos,17,385,2013,12,113,90,594,6,364.7,475.7,409.7,21.5,28.0,24.1
Carolina Panthers,17,424,1853,21,95,68,331,4,364.4,446.4,398.4,21.4,26.3,23.4
Indianapolis Colts,17,437,1767,16,111,87,723,3,357.5,456.0,400.5,21.0,26.8,23.6
Washington Commanders,17,393,1734,14,123,94,717,5,355.9,456.1,402.1,20.9,26.8,23.7
New York Jets,17,426,1699,12,118,83,646,6,336.5,434.5,380.0,19.8,25.6,22.4
New York Giants,17,409,1879,16,73,58,447,1,328.8,395.6,357.6,19.3,23.3,21.0
Las Vegas Raiders,17,398,1667,13,115,89,587,2,310.1,407.4,353.9,18.2,24.0,20.8
Chicago Bears,17,317,1181,7,129,107,1003,7,298.4,410.4,351.9,17.6,24.1,20.7
Pittsburgh Steelers,17,386,1638,9,104,68,524,4,296.44,377.4,330.4,17.4,22.2,19.4
Green Bay Packers,17,390,1626,13,96,73,480,1,294.8,383.6,333.1,17.3,22.6,19.6
Los Angeles Chargers,17,381,1530,10,131,102,772,1,292.2,399.2,343.2,17.2,23.5,20.2
Cincinnati Bengals,17,350,1603,12,89,69,468,2,291.48,377.2,325.7,17.1,22.2,19.2
Cleveland Browns,17,322,1415,9,107,76,514,4,276.0,357.9,312.9,16.2,21.1,18.4
Buffalo Bills,17,314,1393,9,112,85,709,2,272.4,369.2,314.7,16.0,21.7,18.5
Jacksonville Jaguars,17,328,1309,9,131,109,771,2,272.0,395.0,332.5,16.0,23.2,19.6
Houston Texans,17,390,1306,11,104,82,589,2,270.2,355.5,310.5,15.9,20.9,18.3
New England Patriots,17,380,1294,10,104,86,586,3,270.16,364.2,313.2,15.9,21.4,18.4
Dallas Cowboys,17,363,1461,9,86,61,445,4,262.6,329.6,293.1,15.4,19.4,17.2
Miami Dolphins,17,339,1303,10,83,64,560,3,262.3,330.3,294.3,15.4,19.4,17.3
Tennessee Titans,17,396,1528,8,85,62,448,2,258.9,325.6,288.6,15.2,19.2,17.0
New Orleans Saints,17,373,1559,7,92,68,499,2,257.8,332.8,291.8,15.2,19.6,17.2
Kansas City Chiefs,17,323,1478,6,90,75,474,4,253.2,338.2,292.7,14.9,19.9,17.2
Baltimore Ravens,17,345,1542,5,106,86,534,3,251.8,357.6,294.6,14.8,21.0,17.3
Minnesota Vikings,17,363,1371,10,93,84,494,1,250.6,343.5,292.5,14.7,20.2,17.2
Philadelphia Eagles,17,334,1340,9,104,80,546,2,250.6,336.6,290.6,14.7,19.8,17.1
Atlanta Falcons,17,390,1487,5,83,64,505,4,249.4,324.2,281.2,14.7,19.1,16.5
Tampa Bay Buccaneers,17,351,1382,5,89,76,448,2,226.1,309.0,264.0,13.3,18.2,15.5
San Francisco 49ers,17,265,1097,8,117,90,625,1,222.2,314.2,267.2,13.1,18.5,15.7
Los Angeles Rams,17,322,1317,6,90,73,357,1,209.8,286.4,245.9,12.3,16.8,14.5
Detroit Lions,17,296,1028,9,84,59,526,0,207.8,267.4,236.9,12.2,15.7,13.9
