Tm,G,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Team_URL
Atlanta Falcons,17,415,257,2927,17,148,1698,6.6,1229,4.8,9.4,7,36.7,9,2.2,,,
Buffalo Bills,16,574,361,4291,35,214,2694,7.5,1597,4.4,8.8,11,32.8,38,6.6,,,
Carolina Panthers,17,457,267,3246,16,138,1486,5.6,1760,6.6,7.0,16,16.7,26,5.7,,,
Chicago Bears,17,377,223,2598,19,109,1476,6.6,1122,5.0,8.5,13,17.2,18,4.8,,,
Cincinnati Bengals,16,610,418,4520,35,224,2350,5.6,2170,5.2,6.7,32,13.1,34,5.6,,,
Cleveland Browns,17,540,335,3710,19,182,2071,6.2,1639,4.9,7.6,22,15.2,37,6.9,,,
Indianapolis Colts,17,604,398,3854,17,193,2056,5.2,1798,4.5,6.1,24,16.6,27,4.5,,,
Arizona Cardinals,17,664,433,3966,17,189,1908,4.4,2058,4.8,6.8,26,16.7,37,5.6,,,
Dallas Cowboys,17,556,355,3911,28,194,2252,6.3,1659,4.7,8.0,26,13.7,33,5.9,,,
Denver Broncos,17,571,345,4007,18,166,2019,5.9,1988,5.8,8.3,17,20.3,32,5.6,,,
Detroit Lions,17,588,383,4444,29,228,2181,5.7,2263,5.9,6.8,19,20.2,34,5.8,,,
Green Bay Packers,17,563,364,3890,27,186,1890,5.2,2000,5.5,7.8,12,30.3,41,7.3,,,
Houston Texans,17,579,352,3642,20,159,1787,5.1,1855,5.3,7.0,21,16.8,23,4.0,,,
Jacksonville Jaguars,17,596,394,4148,25,208,2123,5.4,2025,5.1,7.1,18,21.9,41,6.9,,,
Kansas City Chiefs,17,651,435,5250,41,272,2400,5.5,2850,6.6,6.9,33,13.2,34,5.2,,,
Miami Dolphins,17,584,368,4765,30,220,2969,8.1,1796,4.9,8.8,27,13.6,36,6.2,,,
Minnesota Vikings,17,672,448,4818,30,244,2702,6.0,2116,4.7,7.2,24,18.7,25,3.7,,,
New Orleans Saints,17,512,338,3969,24,181,2326,6.9,1643,4.9,8.6,12,28.2,29,5.7,,,
New England Patriots,17,540,358,3815,19,166,1992,5.6,1823,5.1,7.6,33,10.8,31,5.7,,,
New York Giants,17,520,346,3431,17,170,1733,5.0,1698,4.9,6.0,14,24.7,30,5.8,,,
New York Jets,17,627,357,4040,15,191,2165,6.1,1875,5.3,7.7,30,11.9,28,4.5,,,
Tennessee Titans,17,456,285,3227,16,153,1690,5.9,1537,5.4,7.3,12,23.8,27,5.9,,,
Philadelphia Eagles,17,536,350,4364,25,195,2326,6.6,2038,5.8,8.0,22,15.9,24,4.5,,,
Pittsburgh Steelers,17,571,364,3661,12,189,2188,6.0,1473,4.0,7.8,32,11.4,23,4.0,,,
Las Vegas Raiders,17,586,359,4182,28,193,2398,6.7,1784,5.0,8.9,21,17.1,30,5.1,,,
Los Angeles Rams,17,531,347,3506,16,181,1708,4.9,1798,5.2,6.9,17,20.4,18,3.4,,,
Baltimore Ravens,17,488,300,3202,19,149,1839,6.1,1363,4.5,7.8,15,20.0,32,6.6,,,
Los Angeles Chargers,17,711,485,4791,26,232,2249,4.6,2542,5.2,6.1,19,25.5,40,5.6,,,
Seattle Seahawks,17,573,399,4282,30,206,2506,6.3,1776,4.5,7.5,11,36.3,18,3.1,,,
San Francisco 49ers,17,512,338,4049,30,188,1809,5.4,2240,6.6,6.7,30,11.3,37,7.2,,,
Tampa Bay Buccaneers,17,751,499,4746,26,240,2388,4.8,2358,4.7,6.5,33,15.1,33,4.4,,,
Washington Commanders,17,554,344,3783,24,184,2098,6.1,1685,4.9,7.8,28,12.3,24,4.3,,,
