Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1.0,Tennessee Titans,17.0,390.0,1307.0,9.0,3.4,76.9,32.7
2.0,San Francisco 49ers,17.0,389.0,1321.0,11.0,3.4,77.7,17.54
3.0,Baltimore Ravens,17.0,406.0,1566.0,11.0,3.9,92.1,15.65
4.0,Buffalo Bills,16.0,387.0,1673.0,10.0,4.3,104.6,5.81
5.0,Cincinnati Bengals,16.0,407.0,1706.0,12.0,4.2,106.6,2.26
6.0,Miami Dolphins,17.0,422.0,1751.0,15.0,4.1,103.0,-5.44
7.0,New England Patriots,17.0,441.0,1793.0,7.0,4.1,105.5,15.97
8.0,Kansas City Chiefs,17.0,419.0,1823.0,10.0,4.4,107.2,-22.49
9.0,Pittsburgh Steelers,17.0,442.0,1838.0,7.0,4.2,108.1,13.16
10.0,Denver Broncos,17.0,438.0,1866.0,12.0,4.3,109.8,6.71
11.0,Washington Commanders,17.0,441.0,1926.0,10.0,4.4,113.3,19.8
12.0,Jacksonville Jaguars,17.0,470.0,1951.0,14.0,4.2,114.8,5.23
13.0,Los Angeles Rams,17.0,455.0,1956.0,12.0,4.3,115.1,-0.2
14.0,Arizona Cardinals,17.0,446.0,2016.0,21.0,4.5,118.6,-7.46
15.0,Tampa Bay Buccaneers,17.0,458.0,2052.0,12.0,4.5,120.7,12.95
16.0,New York Jets,17.0,492.0,2068.0,14.0,4.2,121.6,14.66
17.0,Philadelphia Eagles,17.0,446.0,2068.0,15.0,4.6,121.6,-49.48
18.0,Carolina Panthers,17.0,488.0,2085.0,17.0,4.3,122.6,10.22
19.0,Las Vegas Raiders,17.0,460.0,2087.0,20.0,4.5,122.8,-16.21
20.0,Minnesota Vikings,17.0,463.0,2093.0,18.0,4.5,123.1,-14.81
21.0,Indianapolis Colts,17.0,511.0,2109.0,20.0,4.1,124.1,6.68
22.0,Dallas Cowboys,17.0,497.0,2198.0,9.0,4.4,129.3,6.58
23.0,Atlanta Falcons,17.0,500.0,2214.0,15.0,4.4,130.2,-24.68
24.0,New Orleans Saints,17.0,492.0,2218.0,14.0,4.5,130.5,-16.64
25.0,Cleveland Browns,17.0,488.0,2295.0,22.0,4.7,135.0,-34.44
26.0,Green Bay Packers,17.0,479.0,2372.0,18.0,5.0,139.5,-43.83
27.0,New York Giants,17.0,469.0,2451.0,16.0,5.2,144.2,-74.11
28.0,Los Angeles Chargers,17.0,457.0,2478.0,17.0,5.4,145.8,-55.06
29.0,Detroit Lions,17.0,477.0,2491.0,22.0,5.2,146.5,-67.67
30.0,Seattle Seahawks,17.0,525.0,2554.0,21.0,4.9,150.2,-41.32
31.0,Chicago Bears,17.0,542.0,2674.0,31.0,4.9,157.3,-46.52
32.0,Houston Texans,17.0,573.0,2894.0,25.0,5.1,170.2,-32.99
,Avg Team,,461.6,2059.2,15.2,4.5,121.6,-11.5
,League Total,,14770.0,65894.0,487.0,4.5,121.6,
,Avg Tm/G,,27.3,121.6,0.9,4.5,121.6,
