Quarter,Time,Down,ToGo,Location,SEA,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Saints to receive the opening kickoff.",,,5.0,2022,74
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, returned by Deonte Harty for 22 yards (tackle by Joey Blount)",0.0,0.41,5.0,2022,74
1.0,14:56,1.0,10.0,NOR 22,0.0,0.0,Alvin Kamara left guard for 6 yards (tackle by Al Woods and Poona Ford),0.41,0.68,5.0,2022,74
1.0,14:21,2.0,4.0,NOR 28,0.0,0.0,Alvin Kamara right tackle for 6 yards (tackle by Cody Barton and Ryan Neal),0.68,1.2,5.0,2022,74
1.0,13:46,1.0,10.0,NOR 34,0.0,0.0,Andy Dalton pass complete short right to Chris Olave for 11 yards (tackle by Michael Jackson),1.2,1.93,5.0,2022,74
1.0,13:11,1.0,10.0,NOR 45,0.0,0.0,Alvin Kamara left tackle for 4 yards (tackle by Bryan Mone and Uchenna Nwosu),1.93,1.92,5.0,2022,74
1.0,12:26,2.0,6.0,NOR 49,0.0,0.0,Andy Dalton scrambles right end for 5 yards (tackle by Boye Mafe),1.92,1.88,5.0,2022,74
1.0,11:36,,,,,,Timeout #1 by New Orleans Saints,,,5.0,2022,74
1.0,11:36,3.0,1.0,SEA 46,0.0,0.0,Taysom Hill left end for 4 yards (tackle by Tariq Woolen and Quandre Diggs),1.88,2.79,5.0,2022,74
1.0,11:01,1.0,10.0,SEA 42,0.0,0.0,Alvin Kamara right tackle for 2 yards (tackle by Shelby Harris),2.79,2.51,5.0,2022,74
1.0,10:27,2.0,8.0,SEA 40,0.0,0.0,Taysom Hill right tackle for 3 yards (tackle by Al Woods),2.51,2.21,5.0,2022,74
1.0,9:45,3.0,5.0,SEA 37,0.0,0.0,Andy Dalton pass incomplete short left intended for Chris Olave,2.21,0.79,5.0,2022,74
1.0,9:39,4.0,5.0,SEA 37,0.0,3.0,Wil Lutz 56 yard field goal good,0.79,3.0,5.0,2022,74
1.0,9:34,,,NOR 35,0.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,74
1.0,9:34,1.0,10.0,SEA 25,0.0,3.0,Rashaad Penny right tackle for 5 yards (tackle by Marcus Davenport and Kaden Elliss),0.61,0.74,5.0,2022,74
1.0,8:53,2.0,5.0,SEA 30,0.0,3.0,Geno Smith pass complete short right to Noah Fant for 15 yards (tackle by Pete Werner),0.74,1.93,5.0,2022,74
1.0,8:19,1.0,10.0,SEA 45,0.0,3.0,Rashaad Penny left end for 1 yard (tackle by Marcus Davenport),1.93,1.52,5.0,2022,74
1.0,7:37,2.0,9.0,SEA 46,0.0,3.0,Rashaad Penny up the middle for 4 yards (tackle by Tyrann Mathieu),1.52,1.36,5.0,2022,74
1.0,6:53,3.0,5.0,SEA 50,6.0,3.0,"Geno Smith pass complete deep left to D.K. Metcalf for 50 yards, touchdown",1.36,7.0,5.0,2022,74
1.0,6:41,,,NOR 15,7.0,3.0,Jason Myers kicks extra point good,0.0,0.0,5.0,2022,74
1.0,6:41,,,SEA 35,7.0,3.0,"Jason Myers kicks off 65 yards, recovered by Deonte Harty and returned for no gain, recovered by Deonte Harty at NO-2 returned by Deonte Harty for 9 yards (tackle by Joey Blount)",0.0,-0.37,5.0,2022,74
1.0,6:36,1.0,10.0,NOR 11,7.0,3.0,Andy Dalton pass complete deep right to Chris Olave for 18 yards (tackle by Cody Barton),-0.37,0.87,5.0,2022,74
1.0,6:01,1.0,10.0,NOR 29,7.0,3.0,Alvin Kamara right tackle for no gain (tackle by Al Woods),0.87,0.33,5.0,2022,74
1.0,5:18,2.0,10.0,NOR 29,7.0,3.0,Andy Dalton pass incomplete short right intended for Juwan Johnson (defended by Jordyn Brooks),0.33,-0.36,5.0,2022,74
1.0,5:14,3.0,10.0,NOR 29,7.0,3.0,"Penalty on Darrell Taylor: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.36,0.3,5.0,2022,74
1.0,5:14,3.0,5.0,NOR 34,7.0,3.0,Andy Dalton pass complete short right to Marquez Callaway for 1 yard (tackle by Ryan Neal),0.3,-1.04,5.0,2022,74
