Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Lions to receive the opening kickoff.",,,5.0,2022,71
1.0,15:00,,,NWE 35,0.0,0.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,71
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,Jamaal Williams right guard for 3 yards (tackle by Ja'Whaun Bentley and Christian Barmore),0.61,0.47,5.0,2022,71
1.0,14:22,2.0,7.0,DET 28,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 5 yards (tackle by Myles Bryant),0.47,0.43,5.0,2022,71
1.0,13:44,3.0,2.0,DET 33,0.0,0.0,Jamaal Williams up the middle for 3 yards (tackle by Deatrich Wise),0.43,1.33,5.0,2022,71
1.0,13:13,1.0,10.0,DET 36,0.0,0.0,Justin Jackson right guard for 4 yards (tackle by Matt Judon and Ja'Whaun Bentley),1.33,1.33,5.0,2022,71
1.0,12:34,2.0,6.0,DET 40,0.0,0.0,Jared Goff pass complete short left to Kalif Raymond for no gain (tackle by Kyle Dugger),1.33,0.63,5.0,2022,71
1.0,11:53,3.0,6.0,DET 40,0.0,0.0,Jared Goff scrambles right end for 5 yards (tackle by Mack Wilson),0.63,-0.39,5.0,2022,71
1.0,11:18,4.0,1.0,DET 45,0.0,0.0,Jamaal Williams up the middle for no gain (tackle by Christian Barmore and Davon Godchaux),-0.39,-2.59,5.0,2022,71
1.0,11:09,1.0,10.0,DET 45,0.0,0.0,Damien Harris up the middle for 1 yard (tackle by Saivion Smith and Alex Anzalone),2.59,2.18,5.0,2022,71
1.0,10:29,2.0,9.0,DET 44,0.0,0.0,Bailey Zappe pass complete short left to Hunter Henry for 23 yards (tackle by Kerby Joseph and Malcolm Rodriguez),2.18,4.17,5.0,2022,71
1.0,9:54,1.0,10.0,DET 21,0.0,0.0,Damien Harris left tackle for 1 yard (tackle by Alim McNeill),4.17,3.76,5.0,2022,71
1.0,9:35,2.0,9.0,DET 20,0.0,0.0,Bailey Zappe pass complete short right to Damien Harris for 1 yard (tackle by Will Harris),3.76,3.18,5.0,2022,71
1.0,8:57,3.0,8.0,DET 19,0.0,0.0,Bailey Zappe pass incomplete short left intended for Hunter Henry (defended by Alex Anzalone),3.18,2.18,5.0,2022,71
1.0,8:50,4.0,8.0,DET 19,0.0,3.0,Nick Folk 37 yard field goal good,2.18,3.0,5.0,2022,71
1.0,8:47,,,NWE 35,0.0,3.0,"Jake Bailey kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,71
1.0,8:47,1.0,10.0,DET 25,0.0,3.0,Jared Goff pass complete short right to Josh Reynolds for 22 yards (tackle by Jonathan Jones),0.61,2.06,5.0,2022,71
1.0,8:01,1.0,10.0,DET 47,0.0,3.0,Jamaal Williams up the middle for 2 yards (tackle by Christian Barmore and Adrian Phillips),2.06,1.79,5.0,2022,71
1.0,7:23,2.0,8.0,DET 49,0.0,3.0,Craig Reynolds left guard for 19 yards (tackle by Jack Jones),1.79,3.45,5.0,2022,71
1.0,6:58,1.0,10.0,NWE 32,0.0,3.0,Jared Goff scrambles right end for 3 yards (tackle by Jonathan Jones),3.45,3.31,5.0,2022,71
1.0,6:19,2.0,7.0,NWE 29,0.0,3.0,Justin Jackson left guard for 11 yards (tackle by Devin McCourty and Anfernee Jennings),3.31,4.37,5.0,2022,71
1.0,5:38,1.0,10.0,NWE 18,0.0,3.0,Jared Goff pass short left intended for T.J. Hockenson is intercepted by Jack Jones at NE-3 and returned for no gain,4.37,0.38,5.0,2022,71
1.0,5:32,1.0,10.0,NWE 3,0.0,3.0,Rhamondre Stevenson right guard for 4 yards (tackle by Alex Anzalone),-0.38,-0.49,5.0,2022,71
1.0,4:56,2.0,6.0,NWE 7,0.0,3.0,Rhamondre Stevenson left tackle for 1 yard (tackle by Isaiah Buggs and Malcolm Rodriguez),-0.49,-0.84,5.0,2022,71
1.0,4:20,3.0,5.0,NWE 8,0.0,3.0,Bailey Zappe pass complete short right to Jakobi Meyers for 12 yards (tackle by AJ Parker),-0.84,0.28,5.0,2022,71
1.0,3:48,1.0,10.0,NWE 20,0.0,3.0,Rhamondre Stevenson up the middle for 49 yards (tackle by Alex Anzalone),0.28,3.51,5.0,2022,71
