Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Browns to receive the opening kickoff.",,,5.0,2022,70
1.0,15:00,,,LAC 35,0.0,0.0,"Taylor Bertolet kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,70
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Nick Chubb right guard for 1 yard (tackle by Austin Johnson and Drue Tranquill),0.61,0.2,5.0,2022,70
1.0,14:21,2.0,9.0,CLE 26,0.0,0.0,Jacoby Brissett pass complete short right to Amari Cooper for 10 yards (tackle by J.C. Jackson),0.2,1.33,5.0,2022,70
1.0,13:34,1.0,10.0,CLE 36,0.0,0.0,Nick Chubb right tackle for 14 yards (tackle by Derwin James and Alohi Gilman),1.33,2.26,5.0,2022,70
1.0,13:00,1.0,10.0,CLE 50,0.0,0.0,Jacoby Brissett scrambles up the middle for 9 yards (tackle by J.C. Jackson),2.26,2.93,5.0,2022,70
1.0,12:12,2.0,1.0,LAC 41,0.0,6.0,"Nick Chubb right tackle for 41 yards, touchdown",2.93,7.0,5.0,2022,70
1.0,12:01,,,LAC 15,0.0,7.0,Cade York kicks extra point good,0.0,0.0,5.0,2022,70
1.0,12:01,,,CLE 35,0.0,7.0,"Cade York kicks off 65 yards, returned by DeAndre Carter for 17 yards (tackle by D'Anthony Bell and Ronnie Harrison)",0.0,-0.06,5.0,2022,70
1.0,11:57,1.0,10.0,LAC 17,0.0,7.0,Justin Herbert pass complete short left to Austin Ekeler for 10 yards (tackle by Jeremiah Owusu-Koramoah),-0.06,0.81,5.0,2022,70
1.0,11:27,1.0,10.0,LAC 28,0.0,7.0,Justin Herbert pass incomplete short right,0.81,0.26,5.0,2022,70
1.0,11:27,2.0,10.0,LAC 28,0.0,7.0,Austin Ekeler right guard for 8 yards (tackle by Jacob Phillips),0.26,0.56,5.0,2022,70
1.0,10:50,3.0,2.0,LAC 35,0.0,7.0,Justin Herbert scrambles left guard for 1 yard (tackle by Grant Delpit),0.56,-0.98,5.0,2022,70
1.0,10:50,4.0,1.0,LAC 36,0.0,7.0,"Penalty on Grant Delpit: Unnecessary Roughness / Defense, 15 yards (accepted)",-0.98,2.32,5.0,2022,70
1.0,10:26,1.0,10.0,CLE 49,0.0,7.0,Joshua Kelley right guard for 1 yard (tackle by Jacob Phillips and Perrion Winfrey),2.32,1.92,5.0,2022,70
1.0,9:54,2.0,9.0,CLE 48,0.0,7.0,Justin Herbert pass complete short right to Mike Williams for 12 yards (tackle by Denzel Ward),1.92,3.18,5.0,2022,70
