Unnamed: 0,SEA,NOR,week,year,game_id
First Downs,15,26,5.0,2022,74
Rush-Yds-TDs,21-151-1,48-235-3,5.0,2022,74
Cmp-Att-Yd-TD-INT,16-25-268-3-0,17-25-209-2-1,5.0,2022,74
Sacked-Yards,3-23,1-6,5.0,2022,74
Net Pass Yards,245,203,5.0,2022,74
Total Yards,396,438,5.0,2022,74
Fumbles-Lost,2-1,2-1,5.0,2022,74
Turnovers,1,2,5.0,2022,74
Penalties-Yards,12-85,6-57,5.0,2022,74
Third Down Conv.,1-9,8-14,5.0,2022,74
Fourth Down Conv.,0-1,0-0,5.0,2022,74
Time of Possession,22:25,37:35,5.0,2022,74
