Quarter,Time,Down,ToGo,Location,MIA,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Jets to receive the opening kickoff.",,,5.0,2022,73
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,73
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Zach Wilson pass complete short middle to Garrett Wilson for 11 yards (tackle by Jevon Holland),0.61,1.33,5.0,2022,73
1.0,14:26,1.0,10.0,NYJ 36,0.0,0.0,Zach Wilson pass complete short right to Michael Carter for 6 yards (tackle by Nik Needham),1.33,1.6,5.0,2022,73
1.0,13:44,2.0,4.0,NYJ 42,0.0,0.0,Michael Carter up the middle for 2 yards (tackle by Jaelan Phillips),1.6,1.16,5.0,2022,73
1.0,13:00,3.0,2.0,NYJ 44,0.0,0.0,Zach Wilson pass incomplete short middle intended for Corey Davis (defended by Christian Wilkins),1.16,-0.46,5.0,2022,73
1.0,12:57,4.0,2.0,NYJ 44,0.0,0.0,Braden Mann punts 48 yards downed by Ashtyn Davis,-0.46,0.38,5.0,2022,73
1.0,12:48,1.0,10.0,MIA 8,0.0,2.0,"Teddy Bridgewater pass incomplete short middle. Penalty on Teddy Bridgewater: Intentional Grounding, 8 yards (accepted)",-0.38,-2.0,5.0,2022,73
1.0,12:38,,,MIA 20,0.0,2.0,"Thomas Morstead kicks off 73 yards, returned by Braxton Berrios for 42 yards (tackle by Thomas Morstead)",0.0,2.19,5.0,2022,73
1.0,12:31,1.0,10.0,NYJ 49,0.0,2.0,Zach Wilson pass complete short right to Elijah Moore for 11 yards (tackle by Brandon Jones),2.19,2.92,5.0,2022,73
1.0,11:54,1.0,10.0,MIA 40,0.0,2.0,Michael Carter right end for 1 yard (tackle by Christian Wilkins and Jevon Holland),2.92,2.51,5.0,2022,73
1.0,11:14,2.0,9.0,MIA 39,0.0,2.0,Zach Wilson pass complete short left to Braxton Berrios for -1 yards (tackle by Kader Kohou),2.51,1.68,5.0,2022,73
1.0,10:31,3.0,10.0,MIA 40,0.0,2.0,Zach Wilson sacked by Jerome Baker for -6 yards,1.68,0.2,5.0,2022,73
1.0,9:51,4.0,16.0,MIA 46,0.0,2.0,Braden Mann punts 43 yards downed by Brandin Echols,0.2,0.38,5.0,2022,73
1.0,9:43,1.0,10.0,MIA 3,0.0,2.0,"Raheem Mostert left end for 3 yards (tackle by Kwon Alexander and Will Parks). Penalty on Tyreek Hill: Illegal Formation, 1 yard (accepted) (no play)",-0.38,-0.42,5.0,2022,73
1.0,9:10,1.0,11.0,MIA 2,0.0,2.0,Skylar Thompson pass complete short left to Tyreek Hill for 6 yards (tackle by D.J. Reed),-0.42,-0.42,5.0,2022,73
1.0,8:33,2.0,5.0,MIA 8,0.0,2.0,Raheem Mostert up the middle for 4 yards (tackle by C.J. Mosley),-0.42,-0.37,5.0,2022,73
1.0,7:50,3.0,1.0,MIA 12,0.0,2.0,"Skylar Thompson pass incomplete deep right intended for Tyreek Hill. Penalty on Sauce Gardner: Defensive Pass Interference, 34 yards (accepted) (no play)",-0.37,1.99,5.0,2022,73
1.0,7:44,1.0,10.0,MIA 46,0.0,2.0,Skylar Thompson pass incomplete short left intended for Jaylen Waddle,1.99,1.45,5.0,2022,73
1.0,7:36,2.0,10.0,MIA 46,0.0,2.0,Skylar Thompson pass incomplete short right intended for Chase Edmonds,1.45,0.76,5.0,2022,73
1.0,7:32,3.0,10.0,MIA 46,0.0,2.0,"Skylar Thompson scrambles up the middle for no gain (tackle by Michael Carter). Penalty on Terron Armstead: Offensive Holding, 10 yards (accepted) (no play)",0.76,-0.56,5.0,2022,73
1.0,6:51,,,,,,Timeout #1 by Miami Dolphins,,,5.0,2022,73
1.0,6:51,3.0,20.0,MIA 36,0.0,2.0,Skylar Thompson pass incomplete deep left intended for Trent Sherfield,-0.56,-0.98,5.0,2022,73
1.0,6:46,4.0,20.0,MIA 36,0.0,2.0,"Thomas Morstead punts 36 yards, fair catch by Braxton Berrios at NYJ-28",-0.98,-0.81,5.0,2022,73
1.0,6:39,1.0,10.0,NYJ 28,0.0,2.0,Zach Wilson pass incomplete deep right intended for Elijah Moore,0.81,0.26,5.0,2022,73
1.0,6:34,2.0,10.0,NYJ 28,0.0,2.0,Michael Carter up the middle for 3 yards (tackle by Christian Wilkins and Jaelan Phillips),0.26,-0.03,5.0,2022,73
1.0,5:54,3.0,7.0,NYJ 31,0.0,2.0,Zach Wilson pass complete short right to Corey Davis for 17 yards (tackle by Noah Igbinoghene),-0.03,2.13,5.0,2022,73
1.0,5:27,1.0,10.0,NYJ 48,0.0,2.0,"Breece Hall left end for -6 yards (tackle by Melvin Ingram). Penalty on Melvin Ingram: Personal Foul / Defense, 15 yards (accepted) (no play)",2.13,3.12,5.0,2022,73
1.0,4:47,1.0,10.0,MIA 37,0.0,2.0,"Zach Wilson sacked by Raekwon Davis for no gain. Penalty on Raekwon Davis: Personal Foul / Defense, 15 yards (accepted) (no play)",3.12,4.11,5.0,2022,73
1.0,4:21,1.0,10.0,MIA 22,0.0,2.0,Breece Hall left tackle for 4 yards (tackle by Elandon Roberts),4.11,4.13,5.0,2022,73
1.0,3:41,2.0,6.0,MIA 18,0.0,2.0,Breece Hall right end for 2 yards (tackle by Nik Needham and Jaelan Phillips),4.13,3.74,5.0,2022,73
1.0,3:16,3.0,4.0,MIA 16,0.0,2.0,Zach Wilson pass incomplete deep middle intended for Elijah Moore,3.74,2.45,5.0,2022,73
1.0,3:10,4.0,4.0,MIA 16,0.0,5.0,Greg Zuerlein 34 yard field goal good,2.45,3.0,5.0,2022,73
1.0,3:07,,,NYJ 35,0.0,5.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,73
1.0,3:07,1.0,10.0,MIA 25,0.0,5.0,Raheem Mostert up the middle for 4 yards (tackle by Kwon Alexander),0.61,0.6,5.0,2022,73
1.0,2:27,2.0,6.0,MIA 29,0.0,5.0,Skylar Thompson pass complete short left to Tyreek Hill for -1 yards (tackle by Jordan Whitehead),0.6,-0.23,5.0,2022,73
1.0,1:40,3.0,7.0,MIA 28,0.0,5.0,Skylar Thompson pass complete short left to Trent Sherfield for 5 yards (tackle by C.J. Mosley),-0.23,-1.18,5.0,2022,73
1.0,0:58,4.0,2.0,MIA 33,0.0,5.0,"Thomas Morstead punts 47 yards, fair catch by Braxton Berrios at NYJ-20",-1.18,-0.28,5.0,2022,73
1.0,0:52,1.0,10.0,NYJ 20,0.0,5.0,Zach Wilson pass complete deep left to Breece Hall for 79 yards (tackle by Kader Kohou),0.28,6.97,5.0,2022,73
2.0,15:00,1.0,1.0,MIA 1,0.0,11.0,"Michael Carter up the middle for 1 yard, touchdown",6.97,7.0,5.0,2022,73
2.0,14:56,,,MIA 15,0.0,12.0,Greg Zuerlein kicks extra point good,0.0,0.0,5.0,2022,73
2.0,14:56,,,NYJ 35,0.0,12.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,73
2.0,14:56,1.0,10.0,MIA 25,0.0,12.0,Skylar Thompson pass complete short left to Tyreek Hill for 5 yards (tackle by Jordan Whitehead),0.61,0.74,5.0,2022,73
2.0,14:15,2.0,5.0,MIA 30,0.0,12.0,Skylar Thompson pass complete short right to Tyreek Hill for 5 yards (tackle by C.J. Mosley),0.74,1.27,5.0,2022,73
2.0,13:36,1.0,10.0,MIA 35,0.0,12.0,"Skylar Thompson pass incomplete deep left intended for Tyreek Hill. Penalty on D.J. Reed: Defensive Pass Interference, 27 yards (accepted) (no play)",1.27,3.05,5.0,2022,73
2.0,13:30,1.0,10.0,NYJ 38,0.0,12.0,Raheem Mostert right guard for 3 yards (tackle by Will Parks),3.05,2.91,5.0,2022,73
2.0,12:56,2.0,7.0,NYJ 35,0.0,12.0,Raheem Mostert right tackle for 5 yards (tackle by Carl Lawson and Quinnen Williams),2.91,2.87,5.0,2022,73
2.0,12:14,3.0,2.0,NYJ 30,0.0,12.0,Skylar Thompson pass complete short middle to Jaylen Waddle for 7 yards (tackle by D.J. Reed),2.87,4.04,5.0,2022,73
2.0,11:29,1.0,10.0,NYJ 23,0.0,12.0,Chase Edmonds right tackle for 1 yard (tackle by Sheldon Rankins and Michael Carter),4.04,3.63,5.0,2022,73
2.0,10:45,2.0,9.0,NYJ 22,0.0,12.0,Tyreek Hill left end for 10 yards (tackle by Will Parks and Kwon Alexander),3.63,4.78,5.0,2022,73
2.0,10:01,1.0,10.0,NYJ 12,6.0,12.0,"Raheem Mostert right end for 12 yards, touchdown",4.78,7.0,5.0,2022,73
2.0,9:55,,,NYJ 15,7.0,12.0,Jason Sanders kicks extra point good,0.0,0.0,5.0,2022,73
2.0,9:55,,,MIA 35,7.0,12.0,"Jason Sanders kicks off 60 yards, returned by Braxton Berrios for 19 yards (tackle by Elijah Campbell)",0.0,0.54,5.0,2022,73
2.0,9:49,1.0,10.0,NYJ 24,7.0,12.0,Zach Wilson pass incomplete deep right intended for Tyler Conklin (defended by Jerome Baker),0.54,0.0,5.0,2022,73
2.0,9:38,2.0,10.0,NYJ 24,7.0,12.0,"Penalty on NYJ: False Start, 5 yards (accepted) (no play)",0.0,-0.74,5.0,2022,73
2.0,9:38,2.0,15.0,NYJ 19,7.0,12.0,Zach Wilson pass incomplete short right intended for Garrett Wilson,-0.74,-1.43,5.0,2022,73
2.0,9:35,3.0,15.0,NYJ 19,7.0,12.0,Zach Wilson pass complete short middle to C.J. Uzomah for 9 yards (tackle by Brandon Jones and Channing Tindall),-1.43,-1.5,5.0,2022,73
2.0,8:57,4.0,6.0,NYJ 28,7.0,12.0,"Braden Mann punts 43 yards, fair catch by Jaylen Waddle at MIA-29",-1.5,-0.87,5.0,2022,73
2.0,8:50,1.0,10.0,MIA 29,7.0,12.0,Raheem Mostert left end for 15 yards (tackle by C.J. Mosley),0.87,1.86,5.0,2022,73
2.0,8:07,1.0,10.0,MIA 44,7.0,12.0,Skylar Thompson pass short right (defended by John Franklin-Myers) intended for River Cracraft is intercepted by Sauce Gardner at NYJ-44 and returned for 3 yards (tackle by River Cracraft),1.86,-2.06,5.0,2022,73
2.0,8:00,1.0,10.0,NYJ 47,7.0,12.0,Michael Carter left end for -2 yards (tackle by Elandon Roberts),2.06,1.25,5.0,2022,73
2.0,7:23,2.0,12.0,NYJ 45,7.0,12.0,Zach Wilson pass complete short right to Garrett Wilson for 13 yards (tackle by Nik Needham),1.25,2.79,5.0,2022,73
2.0,6:43,1.0,10.0,MIA 42,7.0,12.0,Breece Hall up the middle for 7 yards (tackle by Jerome Baker and Brandon Jones),2.79,3.19,5.0,2022,73
2.0,6:08,2.0,3.0,MIA 35,7.0,12.0,Breece Hall right end for 12 yards (tackle by Brandon Jones),3.19,4.04,5.0,2022,73
2.0,5:30,1.0,10.0,MIA 23,7.0,12.0,Breece Hall left end for 9 yards (tackle by Nik Needham and Jaelan Phillips),4.04,4.95,5.0,2022,73
2.0,4:53,2.0,1.0,MIA 14,7.0,12.0,Breece Hall left tackle for 5 yards (tackle by Jerome Baker and Elandon Roberts),4.95,5.14,5.0,2022,73
2.0,4:12,1.0,9.0,MIA 9,7.0,12.0,Michael Carter up the middle for 4 yards (tackle by Emmanuel Ogbah),5.14,5.15,5.0,2022,73
2.0,3:29,2.0,5.0,MIA 5,7.0,12.0,Breece Hall up the middle for no gain (tackle by Elandon Roberts),5.15,4.26,5.0,2022,73
2.0,2:45,3.0,5.0,MIA 5,7.0,18.0,"Zach Wilson scrambles right tackle for 5 yards, touchdown",4.26,7.0,5.0,2022,73
2.0,2:38,,,MIA 15,7.0,19.0,Greg Zuerlein kicks extra point good,0.0,0.0,5.0,2022,73
2.0,2:38,,,NYJ 35,7.0,19.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2022,73
2.0,2:38,1.0,10.0,MIA 25,7.0,19.0,Raheem Mostert up the middle for 3 yards (tackle by John Franklin-Myers and Kwon Alexander),0.61,0.47,5.0,2022,73
2.0,2:01,2.0,7.0,MIA 28,7.0,19.0,Raheem Mostert right end for 24 yards (tackle by Lamarcus Joyner and Jordan Whitehead),0.47,2.39,5.0,2022,73
2.0,1:55,1.0,10.0,NYJ 48,7.0,19.0,Raheem Mostert right guard for 4 yards (tackle by Sauce Gardner),2.39,2.39,5.0,2022,73
