Unnamed: 0,LAC,CLE,week,year,game_id
First Downs,26,27,5.0,2022,70
Rush-Yds-TDs,34-238-2,31-213-3,5.0,2022,70
Cmp-Att-Yd-TD-INT,22-34-228-1-0,21-34-230-1-1,5.0,2022,70
Sacked-Yards,1-1,0-0,5.0,2022,70
Net Pass Yards,227,230,5.0,2022,70
Total Yards,465,443,5.0,2022,70
Fumbles-Lost,0-0,0-0,5.0,2022,70
Turnovers,0,1,5.0,2022,70
Penalties-Yards,4-17,6-65,5.0,2022,70
Third Down Conv.,3-10,4-10,5.0,2022,70
Fourth Down Conv.,0-2,0-1,5.0,2022,70
Time of Possession,29:58,30:02,5.0,2022,70
