Quarter,Time,Tm,Detail,IND,DEN,week,year,game_id
1,9:28,Broncos,Brandon McManus 33 yard field goal,0,3,5.0,2022,65
2,10:58,Broncos,Brandon McManus 44 yard field goal,0,6,5.0,2022,65
,0:12,Colts,Chase McLaughlin 52 yard field goal,3,6,5.0,2022,65
3,8:51,Colts,Chase McLaughlin 51 yard field goal,6,6,5.0,2022,65
,3:19,Broncos,Brandon McManus 45 yard field goal,6,9,5.0,2022,65
4,0:05,Colts,Chase McLaughlin 31 yard field goal,9,9,5.0,2022,65
OT,5:50,Colts,Chase McLaughlin 48 yard field goal,12,9,5.0,2022,65
