Quarter,Time,Down,ToGo,Location,PIT,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Bills to receive the opening kickoff.",,,5.0,2022,68
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, returned by Taiwan Jones for 2 yards (tackle by Tre Norwood)",0.0,-0.38,5.0,2022,68
1.0,14:54,1.0,10.0,BUF 2,0.0,0.0,Josh Allen pass incomplete short left intended for Devin Singletary (defended by DeMarvin Leal),-0.38,-0.78,5.0,2022,68
1.0,14:49,2.0,10.0,BUF 2,0.0,0.0,Devin Singletary right guard for no gain (tackle by Myles Jack and Cameron Heyward),-0.78,-1.42,5.0,2022,68
1.0,14:09,3.0,10.0,BUF 2,0.0,6.0,"Josh Allen pass complete deep middle to Gabriel Davis for 98 yards, touchdown",-1.42,7.0,5.0,2022,68
1.0,13:56,,,PIT 15,0.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,5.0,2022,68
1.0,13:56,,,BUF 35,0.0,7.0,"Tyler Bass kicks off 45 yards, returned by James Pierre for no gain. James Pierre fumbles, recovered by Taron Johnson at PIT-21",0.0,-4.17,5.0,2022,68
1.0,13:56,1.0,10.0,PIT 21,0.0,7.0,Josh Allen pass complete short right to Devin Singletary for 4 yards (tackle by Arthur Maulet),4.17,4.2,5.0,2022,68
1.0,13:09,2.0,6.0,PIT 17,0.0,7.0,"Devin Singletary up the middle for 8 yards (tackle by Devin Bush and DeMarvin Leal). Penalty on Ryan Bates: Offensive Holding, 10 yards (accepted) (no play)",4.2,2.82,5.0,2022,68
1.0,12:51,2.0,16.0,PIT 27,0.0,7.0,Josh Allen pass complete short right to Stefon Diggs for -4 yards (tackle by Alex Highsmith),2.82,1.62,5.0,2022,68
1.0,12:07,3.0,20.0,PIT 31,0.0,7.0,Josh Allen pass incomplete deep left intended for Gabriel Davis,1.62,1.32,5.0,2022,68
1.0,12:02,4.0,20.0,PIT 31,0.0,7.0,Tyler Bass 49 yard field goal no good blocked by DeMarvin Leal,1.32,-1.53,5.0,2022,68
